,full_name,city_full_name,state_full_name,followers_count,friends_count,favourites_count,retweet_count,favorite_count,tweet_count
63,"Ensenada, Baja California",Ensenada,Baja California,1039.0,1659.0,106135.0,0.0,1.5,2
64,"Escuinapa, Sinaloa",Escuinapa,Sinaloa,24.0,66.0,4269.0,0.0,1.0,1
67,"Ezequiel Montes, Querétaro Arteaga",Ezequiel Montes,Querétaro Arteaga,280.0,249.0,157.0,0.0,0.0,1
68,"Fortín, Veracruz de Ignacio de la Llave",Fortín,Veracruz de Ignacio de la Llave,1354.5,1070.5,16856.5,1.0,3.5,2
69,"Fresnillo, Zacatecas",Fresnillo,Zacatecas,1085.0,2178.0,44127.0,0.0,0.0,1
70,"García, Nuevo León",García,Nuevo León,720.0,1283.0,8952.0,0.0,25.0,1
71,"General Escobedo, Nuevo León",General Escobedo,Nuevo León,1418.0,614.8333333333334,11883.666666666666,0.3333333333333333,2.0,6
72,"Gonzalo Guerrero, Mérida",Gonzalo Guerrero,Mérida,503.0,414.0,1107.0,0.0,0.0,1
73,"Guadalajara, Jalisco",Guadalajara,Jalisco,748.0454545454545,816.4545454545455,52810.454545454544,0.09090909090909091,1.3636363636363635,22
74,"Guadalupe, Nuevo León",Guadalupe,Nuevo León,3301.5555555555557,918.4444444444445,6304.777777777777,0.0,6.777777777777778,9
75,"Guadalupe, Zacatecas",Guadalupe,Zacatecas,7.0,73.0,17.0,0.0,0.0,2
76,"Guanajuato, México",Guanajuato,México,1619.0,413.0,8565.0,0.0,0.0,1
77,"Guasave, Sinaloa",Guasave,Sinaloa,137.0,175.0,1445.0,0.0,0.0,1
78,"Guaymas, Sonora",Guaymas,Sonora,734.0,718.0,88560.0,0.0,4.0,1
79,"Gustavo A. Madero, Distrito Federal",Gustavo A. Madero,Distrito Federal,966.7142857142857,1910.5714285714287,16534.285714285714,0.42857142857142855,1.7142857142857142,7
80,"Gómez Palacio, Durango",Gómez Palacio,Durango,368.0,245.0,1470.0,0.0,0.0,1
82,"Hermosillo, Sonora",Hermosillo,Sonora,926.44,856.32,23422.6,0.4,3.36,25
83,"Huehuetoca, México",Huehuetoca,México,603.0,284.0,14645.0,1.0,3.0,1
84,"Huejotzingo, Puebla",Huejotzingo,Puebla,43.0,431.0,7602.0,0.0,1.0,1
85,"Huitzilac, Morelos",Huitzilac,Morelos,442.0,878.0,4862.0,0.0,0.0,2
86,"Huixquilucan, México",Huixquilucan,México,199.0,208.0,590.0,0.0,0.0,1
87,"Iguala de la Independencia, Guerrero",Iguala de la Independencia,Guerrero,15.0,93.0,2055.0,0.0,0.0,1
88,"Irapuato, Guanajuato",Irapuato,Guanajuato,220.0,368.25,4175.25,0.0,0.25,4
89,"Isla Mujeres, Quintana Roo",Isla Mujeres,Quintana Roo,1143.0,1176.0,92724.0,0.0,1.0,1
90,"Ixmiquilpan, Hidalgo",Ixmiquilpan,Hidalgo,558.0,651.0,18070.0,0.0,1.0,1
91,"Iztacalco, Distrito Federal",Iztacalco,Distrito Federal,486.125,2209.125,25211.875,0.0,0.5,8
92,"Iztapalapa, Distrito Federal",Iztapalapa,Distrito Federal,353.0,822.5,12643.5,0.3,0.7,10
94,"Jardín principal Penjamo, Gto.",Jardín principal Penjamo,Gto.,1.0,2.0,2.0,0.0,0.0,1
95,"Jerez, Zacatecas",Jerez,Zacatecas,178.0,129.0,938.0,0.0,0.0,1
96,"Jocotitlán, México",Jocotitlán,México,1265.0,1300.0,11918.0,0.0,3.0,1
97,"José Azueta, Guerrero",José Azueta,Guerrero,1535.0,2296.0,59.0,0.0,0.0,1
98,"José Azueta, Veracruz de Ignacio de la Llave",José Azueta,Veracruz de Ignacio de la Llave,14.0,31.0,273.0,0.0,1.0,1
99,"Juárez, Chihuahua",Juárez,Chihuahua,194.0,134.0,43059.0,0.0,1.0,2
100,"Jáltipan, Veracruz de Ignacio de la Llave",Jáltipan,Veracruz de Ignacio de la Llave,209.0,271.0,480.0,0.0,0.0,1
103,"La Magdalena Contreras, Distrito Federal",La Magdalena Contreras,Distrito Federal,21.0,106.0,278.0,0.0,0.0,2
104,"La Paz, Baja California Sur",La Paz,Baja California Sur,830.0,580.5,55784.0,0.5,3.0,2
108,"León, Guanajuato",León,Guanajuato,899.4545454545455,1224.5454545454545,22781.545454545456,0.2727272727272727,0.8181818181818182,11
109,"Linares, Nuevo León",Linares,Nuevo León,309.0,482.0,18263.0,0.0,1.0,1
110,"Los Cabos, Baja California Sur",Los Cabos,Baja California Sur,1968.3333333333333,810.0,10437.0,0.3333333333333333,0.6666666666666666,3
112,"Lázaro Cárdenas, Michoacán de Ocampo",Lázaro Cárdenas,Michoacán de Ocampo,162.0,424.0,571.0,0.0,0.0,1
113,"Macuspana, Tabasco",Macuspana,Tabasco,136.0,1407.0,494.0,0.0,0.0,1
114,"Manuel Doblado, Guanajuato",Manuel Doblado,Guanajuato,423.0,344.0,12775.0,0.0,0.0,1
115,"Manzanillo, Colima",Manzanillo,Colima,133.33333333333334,290.0,12399.666666666666,0.0,0.3333333333333333,3
116,"Maní, Yucatán",Maní,Yucatán,461.0,365.0,519.0,0.0,0.0,1
117,"Matamoros, Tamaulipas",Matamoros,Tamaulipas,1151.5,1145.5,1122.0,0.0,0.5,2
118,"Mazatlán, Sinaloa",Mazatlán,Sinaloa,753.8,779.6,14590.4,0.0,0.5333333333333333,15
119,"Medellín, Veracruz de Ignacio de la Llave",Medellín,Veracruz de Ignacio de la Llave,2362.0,1241.5,4187.5,0.5,0.5,2
122,"Metepec, México",Metepec,México,1923.5,2256.0,52826.5,0.0,0.25,4
124,"Mexicali, Baja California",Mexicali,Baja California,461.42857142857144,416.14285714285717,9788.57142857143,0.0,1.1428571428571428,7
