,cve_ent_mun,Amenazas,Daño a la propiedad,Extorsión,Robo a negocio
221,8019,429.0,2300.0,1.0,505.0
222,8020,5.0,2.0,0.0,0.0
223,8021,47.0,213.0,2.0,165.0
224,8022,3.0,3.0,0.0,0.0
225,8023,3.0,5.0,0.0,1.0
226,8024,25.0,41.0,0.0,1.0
227,8025,3.0,6.0,0.0,1.0
228,8026,2.0,6.0,0.0,0.0
229,8027,10.0,66.0,0.0,4.0
230,8028,0.0,4.0,0.0,0.0
231,8029,19.0,20.0,0.0,0.0
232,8030,1.0,5.0,0.0,0.0
233,8031,15.0,38.0,0.0,7.0
234,8032,186.0,380.0,0.0,117.0
235,8033,0.0,0.0,0.0,0.0
236,8034,1.0,0.0,0.0,0.0
237,8035,5.0,9.0,0.0,0.0
238,8036,100.0,135.0,0.0,13.0
239,8037,2453.0,4835.0,10.0,1198.0
240,8038,2.0,11.0,0.0,2.0
241,8039,2.0,4.0,0.0,1.0
242,8040,34.0,21.0,0.0,6.0
243,8041,0.0,0.0,0.0,0.0
244,8042,1.0,1.0,0.0,0.0
245,8043,1.0,10.0,0.0,0.0
246,8044,1.0,4.0,0.0,1.0
247,8045,33.0,134.0,0.0,17.0
248,8046,1.0,1.0,0.0,0.0
249,8047,0.0,0.0,0.0,0.0
250,8048,5.0,12.0,0.0,0.0
251,8049,0.0,2.0,0.0,0.0
252,8050,41.0,197.0,1.0,28.0
253,8051,11.0,15.0,0.0,1.0
254,8052,3.0,30.0,0.0,3.0
255,8053,1.0,3.0,1.0,0.0
256,8054,1.0,6.0,0.0,0.0
257,8055,10.0,33.0,0.0,3.0
258,8056,4.0,0.0,0.0,0.0
259,8057,2.0,2.0,0.0,0.0
260,8058,0.0,1.0,0.0,0.0
261,8059,6.0,14.0,0.0,1.0
262,8060,15.0,35.0,0.0,3.0
263,8061,20.0,8.0,0.0,0.0
264,8062,4.0,60.0,0.0,7.0
265,8063,2.0,12.0,0.0,0.0
266,8064,0.0,2.0,0.0,0.0
267,8065,4.0,4.0,0.0,0.0
268,8066,0.0,0.0,0.0,0.0
269,8067,0.0,3.0,0.0,0.0
270,9002,1062.0,580.0,31.0,1259.0
271,9003,1232.0,861.0,18.0,1559.0
272,9004,241.0,240.0,10.0,359.0
273,9005,2065.0,1143.0,66.0,2353.0
274,9006,743.0,457.0,24.0,422.0
275,9007,2760.0,1443.0,79.0,2762.0
276,9008,508.0,307.0,12.0,136.0
277,9009,176.0,151.0,2.0,29.0
278,9010,1549.0,821.0,26.0,1501.0
279,9011,684.0,332.0,8.0,229.0
280,9012,1221.0,845.0,27.0,1193.0
281,9013,738.0,516.0,8.0,274.0
282,9014,982.0,803.0,30.0,1979.0
283,9015,2087.0,1353.0,72.0,2515.0
284,9016,1069.0,707.0,30.0,1386.0
285,9017,1183.0,643.0,27.0,974.0
286,9998,1.0,2.0,0.0,0.0
287,10001,7.0,31.0,2.0,4.0
288,10002,1.0,0.0,0.0,0.0
289,10003,0.0,0.0,0.0,0.0
290,10004,13.0,36.0,1.0,2.0
291,10005,739.0,1727.0,70.0,721.0
292,10006,1.0,0.0,0.0,0.0
293,10007,325.0,373.0,3.0,411.0
294,10008,11.0,47.0,0.0,9.0
295,10009,4.0,2.0,0.0,2.0
296,10010,0.0,0.0,0.0,0.0
297,10011,0.0,0.0,0.0,0.0
298,10012,114.0,158.0,0.0,112.0
299,10013,6.0,11.0,2.0,10.0
300,10014,12.0,16.0,0.0,4.0
301,10015,2.0,7.0,1.0,2.0
302,10016,20.0,21.0,2.0,1.0
303,10017,2.0,0.0,1.0,0.0
304,10018,2.0,3.0,3.0,0.0
305,10019,0.0,0.0,0.0,0.0
306,10020,6.0,17.0,0.0,0.0
307,10021,7.0,8.0,0.0,0.0
308,10022,31.0,36.0,4.0,11.0
309,10023,11.0,35.0,1.0,17.0
310,10024,8.0,21.0,0.0,0.0
311,10025,1.0,1.0,0.0,3.0
312,10026,4.0,4.0,0.0,1.0
313,10027,1.0,16.0,0.0,0.0
314,10028,8.0,29.0,2.0,0.0
315,10029,0.0,0.0,0.0,0.0
316,10030,0.0,1.0,0.0,0.0
317,10031,1.0,4.0,0.0,0.0
318,10032,72.0,103.0,17.0,6.0
319,10033,2.0,2.0,0.0,0.0
320,10034,5.0,2.0,1.0,1.0
321,10035,9.0,9.0,4.0,0.0
322,10036,2.0,4.0,0.0,1.0
323,10037,0.0,0.0,0.0,0.0
324,10038,10.0,35.0,2.0,4.0
325,10039,8.0,14.0,8.0,6.0
326,11001,127.0,99.0,0.0,19.0
327,11002,251.0,142.0,0.0,14.0
328,11003,266.0,452.0,2.0,115.0
329,11004,119.0,108.0,0.0,24.0
330,11005,303.0,193.0,5.0,105.0
331,11006,2.0,6.0,0.0,0.0
332,11007,1044.0,967.0,4.0,1808.0
333,11008,21.0,35.0,0.0,7.0
334,11009,117.0,107.0,1.0,29.0
335,11010,22.0,17.0,0.0,1.0
336,11011,261.0,147.0,1.0,65.0
337,11012,42.0,37.0,0.0,3.0
338,11013,15.0,16.0,0.0,5.0
339,11014,122.0,250.0,2.0,94.0
340,11015,326.0,473.0,1.0,232.0
341,11016,21.0,18.0,0.0,2.0
342,11017,1316.0,1420.0,4.0,986.0
343,11018,61.0,25.0,0.0,16.0
344,11019,37.0,41.0,0.0,3.0
345,11020,2934.0,3948.0,1.0,2626.0
346,11021,74.0,73.0,1.0,9.0
347,11022,16.0,27.0,0.0,1.0
348,11023,219.0,127.0,2.0,12.0
349,11024,8.0,7.0,0.0,2.0
350,11025,207.0,136.0,0.0,36.0
351,11026,66.0,80.0,0.0,10.0
352,11027,367.0,405.0,6.0,520.0
353,11028,240.0,128.0,1.0,37.0
354,11029,28.0,68.0,0.0,15.0
355,11030,97.0,166.0,0.0,37.0
356,11031,312.0,374.0,0.0,92.0
357,11032,75.0,148.0,2.0,46.0
358,11033,97.0,174.0,3.0,62.0
359,11034,5.0,13.0,0.0,0.0
360,11035,79.0,80.0,1.0,22.0
361,11036,6.0,7.0,0.0,0.0
362,11037,374.0,359.0,1.0,301.0
363,11038,37.0,27.0,1.0,3.0
364,11039,159.0,66.0,0.0,8.0
365,11040,17.0,38.0,0.0,1.0
366,11041,204.0,97.0,0.0,11.0
367,11042,346.0,162.0,0.0,21.0
368,11043,24.0,22.0,0.0,2.0
369,11044,103.0,90.0,1.0,44.0
370,11045,13.0,6.0,0.0,2.0
371,11046,137.0,91.0,0.0,4.0
372,12001,895.0,800.0,128.0,539.0
373,12002,2.0,0.0,0.0,0.0
374,12003,2.0,0.0,0.0,0.0
375,12004,7.0,5.0,0.0,0.0
376,12005,3.0,3.0,0.0,0.0
377,12006,1.0,1.0,0.0,0.0
378,12007,3.0,3.0,0.0,0.0
379,12008,5.0,0.0,1.0,1.0
380,12009,3.0,0.0,0.0,0.0
381,12010,2.0,3.0,0.0,0.0
382,12011,38.0,24.0,5.0,2.0
383,12012,19.0,10.0,5.0,0.0
384,12013,3.0,5.0,3.0,0.0
385,12014,15.0,9.0,0.0,0.0
386,12015,4.0,6.0,1.0,0.0
387,12016,0.0,0.0,0.0,0.0
388,12017,8.0,9.0,2.0,0.0
389,12018,5.0,13.0,0.0,0.0
390,12019,1.0,2.0,0.0,0.0
391,12020,4.0,0.0,0.0,0.0
392,12021,58.0,27.0,2.0,3.0
393,12022,14.0,6.0,1.0,0.0
394,12023,5.0,5.0,3.0,1.0
395,12024,1.0,1.0,1.0,0.0
396,12025,3.0,1.0,1.0,0.0
397,12026,1.0,0.0,0.0,0.0
398,12027,6.0,1.0,0.0,1.0
399,12028,29.0,24.0,5.0,4.0
400,12029,395.0,330.0,52.0,51.0
401,12030,17.0,27.0,2.0,0.0
402,12031,1.0,1.0,0.0,0.0
403,12032,0.0,1.0,1.0,0.0
404,12033,2.0,8.0,1.0,0.0
405,12034,24.0,56.0,1.0,5.0
406,12035,210.0,165.0,17.0,66.0
407,12036,8.0,5.0,1.0,0.0
408,12037,2.0,0.0,0.0,0.0
409,12038,121.0,102.0,21.0,30.0
410,12039,6.0,31.0,1.0,0.0
411,12040,3.0,3.0,0.0,0.0
412,12041,11.0,16.0,0.0,0.0
413,12042,3.0,1.0,0.0,0.0
414,12043,14.0,5.0,1.0,0.0
415,12044,3.0,1.0,0.0,0.0
416,12045,3.0,8.0,1.0,0.0
417,12046,48.0,46.0,10.0,8.0
418,12047,0.0,0.0,0.0,0.0
419,12048,12.0,6.0,0.0,0.0
420,12049,19.0,9.0,0.0,0.0
421,12050,27.0,11.0,2.0,1.0
422,12051,4.0,1.0,0.0,0.0
423,12052,17.0,18.0,0.0,0.0
424,12053,21.0,14.0,1.0,2.0
425,12054,0.0,0.0,0.0,0.0
426,12055,216.0,116.0,8.0,14.0
427,12056,8.0,10.0,0.0,0.0
428,12057,81.0,52.0,0.0,2.0
429,12058,11.0,14.0,1.0,4.0
430,12059,27.0,23.0,3.0,1.0
431,12060,6.0,1.0,1.0,1.0
432,12061,20.0,9.0,0.0,1.0
433,12062,6.0,5.0,0.0,1.0
434,12063,1.0,0.0,0.0,0.0
435,12064,0.0,0.0,1.0,0.0
436,12065,0.0,0.0,1.0,0.0
437,12066,90.0,51.0,16.0,11.0
438,12067,0.0,1.0,0.0,0.0
439,12068,4.0,4.0,0.0,3.0
440,12069,6.0,2.0,0.0,0.0
441,12070,1.0,1.0,0.0,0.0
442,12071,8.0,7.0,0.0,0.0
443,12072,0.0,1.0,0.0,0.0
444,12073,6.0,6.0,1.0,0.0
445,12074,4.0,1.0,0.0,0.0
446,12075,22.0,13.0,2.0,3.0
447,12076,5.0,0.0,0.0,0.0
448,12077,15.0,11.0,1.0,2.0
449,12078,6.0,3.0,0.0,0.0
450,12079,0.0,1.0,0.0,0.0
451,12080,8.0,8.0,1.0,0.0
452,12081,0.0,0.0,0.0,0.0
453,13001,16.0,7.0,0.0,4.0
454,13002,15.0,15.0,2.0,9.0
455,13003,101.0,99.0,5.0,71.0
456,13004,3.0,2.0,0.0,0.0
457,13005,8.0,7.0,0.0,1.0
458,13006,11.0,11.0,0.0,3.0
459,13007,10.0,7.0,0.0,5.0
460,13008,92.0,77.0,7.0,50.0
461,13009,18.0,17.0,0.0,10.0
462,13010,20.0,23.0,4.0,10.0
463,13011,9.0,5.0,2.0,0.0
464,13012,48.0,38.0,3.0,8.0
465,13013,37.0,29.0,4.0,74.0
466,13014,9.0,8.0,1.0,0.0
467,13015,5.0,9.0,0.0,0.0
468,13016,32.0,24.0,2.0,7.0
469,13017,7.0,4.0,1.0,0.0
470,13018,14.0,7.0,1.0,1.0
471,13019,15.0,12.0,0.0,3.0
472,13020,1.0,1.0,0.0,0.0
473,13021,23.0,17.0,1.0,13.0
474,13022,14.0,8.0,1.0,8.0
475,13023,33.0,29.0,2.0,4.0
476,13024,12.0,9.0,0.0,3.0
477,13025,7.0,4.0,1.0,0.0
478,13026,5.0,2.0,0.0,0.0
479,13027,7.0,2.0,0.0,0.0
480,13028,120.0,102.0,11.0,25.0
481,13029,43.0,31.0,11.0,5.0
482,13030,148.0,91.0,5.0,69.0
483,13031,13.0,6.0,1.0,1.0
484,13032,4.0,1.0,2.0,1.0
485,13033,5.0,3.0,0.0,0.0
486,13034,6.0,3.0,0.0,1.0
487,13035,2.0,5.0,1.0,3.0
488,13036,10.0,3.0,1.0,4.0
489,13037,29.0,27.0,0.0,2.0
490,13038,11.0,1.0,0.0,1.0
491,13039,15.0,11.0,0.0,8.0
492,13040,2.0,1.0,0.0,1.0
493,13041,61.0,54.0,2.0,17.0
494,13042,21.0,16.0,0.0,2.0
495,13043,2.0,1.0,0.0,0.0
496,13044,7.0,13.0,1.0,1.0
497,13045,4.0,5.0,0.0,0.0
498,13046,9.0,6.0,1.0,1.0
499,13047,2.0,1.0,0.0,0.0
500,13048,499.0,652.0,11.0,569.0
501,13049,1.0,0.0,0.0,0.0
502,13050,24.0,32.0,1.0,12.0
503,13051,168.0,104.0,0.0,195.0
504,13052,36.0,34.0,1.0,9.0
505,13053,6.0,5.0,1.0,1.0
506,13054,27.0,23.0,0.0,5.0
507,13055,10.0,5.0,1.0,4.0
508,13056,30.0,20.0,2.0,14.0
509,13057,17.0,12.0,2.0,7.0
510,13058,8.0,7.0,0.0,0.0
511,13059,10.0,11.0,2.0,1.0
512,13060,9.0,9.0,0.0,1.0
513,13061,115.0,78.0,4.0,48.0
514,13062,6.0,4.0,0.0,0.0
515,13063,53.0,65.0,2.0,58.0
516,13064,4.0,3.0,0.0,1.0
517,13065,4.0,5.0,0.0,1.0
518,13066,6.0,3.0,0.0,0.0
519,13067,9.0,24.0,0.0,20.0
520,13068,2.0,5.0,0.0,0.0
521,13069,305.0,171.0,16.0,169.0
522,13070,27.0,23.0,0.0,12.0
523,13071,4.0,1.0,0.0,0.0
524,13072,0.0,1.0,0.0,1.0
525,13073,26.0,17.0,3.0,1.0
526,13074,24.0,12.0,1.0,6.0
527,13075,5.0,4.0,0.0,3.0
528,13076,135.0,127.0,9.0,152.0
529,13077,244.0,211.0,10.0,150.0
530,13078,8.0,5.0,1.0,1.0
531,13079,6.0,4.0,0.0,0.0
532,13080,2.0,0.0,1.0,0.0
533,13081,48.0,29.0,5.0,9.0
534,13082,6.0,3.0,0.0,1.0
535,13083,44.0,34.0,0.0,33.0
536,13084,12.0,16.0,4.0,0.0
537,14001,22.0,32.0,6.0,12.0
538,14002,54.0,42.0,1.0,33.0
539,14003,23.0,26.0,3.0,22.0
540,14004,1.0,18.0,0.0,0.0
541,14005,16.0,35.0,4.0,4.0
542,14006,79.0,102.0,9.0,39.0
543,14007,8.0,25.0,1.0,6.0
544,14008,77.0,104.0,12.0,14.0
545,14009,36.0,29.0,3.0,19.0
546,14010,2.0,9.0,0.0,0.0
547,14011,2.0,8.0,3.0,0.0
548,14012,5.0,5.0,1.0,0.0
549,14013,68.0,62.0,6.0,8.0
550,14014,6.0,2.0,0.0,0.0
551,14015,82.0,120.0,9.0,17.0
552,14016,17.0,25.0,0.0,5.0
553,14017,9.0,10.0,0.0,0.0
554,14018,33.0,40.0,0.0,10.0
555,14019,1.0,0.0,0.0,0.0
556,14020,6.0,14.0,2.0,0.0
557,14021,18.0,26.0,3.0,3.0
558,14022,66.0,38.0,10.0,5.0
559,14023,126.0,145.0,9.0,54.0
560,14024,37.0,84.0,10.0,18.0
561,14025,17.0,13.0,5.0,1.0
562,14026,4.0,15.0,0.0,0.0
563,14027,26.0,24.0,0.0,1.0
564,14028,5.0,3.0,0.0,0.0
565,14029,23.0,18.0,1.0,1.0
566,14030,101.0,85.0,12.0,49.0
567,14031,0.0,0.0,0.0,0.0
568,14032,4.0,2.0,0.0,0.0
569,14033,10.0,6.0,2.0,2.0
570,14034,1.0,4.0,0.0,0.0
571,14035,40.0,55.0,4.0,11.0
572,14036,23.0,24.0,2.0,10.0
573,14037,19.0,35.0,3.0,10.0
574,14038,5.0,5.0,0.0,0.0
575,14039,3366.0,1999.0,200.0,4664.0
576,14040,3.0,15.0,0.0,0.0
577,14041,3.0,0.0,1.0,0.0
578,14042,2.0,11.0,6.0,0.0
579,14043,36.0,32.0,4.0,0.0
580,14044,47.0,48.0,6.0,31.0
581,14045,23.0,31.0,4.0,0.0
582,14046,29.0,54.0,10.0,1.0
583,14047,13.0,14.0,2.0,2.0
584,14048,19.0,38.0,2.0,0.0
585,14049,0.0,1.0,0.0,0.0
586,14050,64.0,16.0,3.0,21.0
587,14051,36.0,22.0,4.0,7.0
588,14052,4.0,5.0,0.0,0.0
589,14053,153.0,237.0,19.0,106.0
590,14054,9.0,8.0,0.0,1.0
591,14055,16.0,33.0,4.0,15.0
592,14056,0.0,1.0,0.0,0.0
593,14057,3.0,7.0,1.0,0.0
594,14058,31.0,26.0,3.0,1.0
595,14059,13.0,48.0,3.0,2.0
596,14060,4.0,7.0,0.0,0.0
597,14061,2.0,4.0,1.0,0.0
598,14062,3.0,4.0,0.0,2.0
599,14063,73.0,78.0,13.0,22.0
600,14064,21.0,16.0,7.0,5.0
601,14065,4.0,8.0,0.0,0.0
602,14066,19.0,56.0,2.0,4.0
603,14067,464.0,656.0,35.0,154.0
604,14068,18.0,17.0,0.0,3.0
605,14069,2.0,8.0,0.0,0.0
606,14070,311.0,177.0,16.0,124.0
607,14071,1.0,0.0,0.0,0.0
608,14072,1.0,9.0,0.0,0.0
609,14073,30.0,68.0,12.0,17.0
610,14074,8.0,12.0,1.0,1.0
611,14075,3.0,4.0,0.0,0.0
612,14076,2.0,0.0,0.0,0.0
613,14077,21.0,23.0,4.0,8.0
614,14078,8.0,68.0,4.0,12.0
615,14079,9.0,23.0,0.0,1.0
616,14080,6.0,6.0,0.0,0.0
617,14081,1.0,0.0,0.0,0.0
618,14082,26.0,52.0,1.0,11.0
619,14083,120.0,142.0,11.0,59.0
620,14084,16.0,14.0,1.0,2.0
621,14085,27.0,29.0,2.0,5.0
622,14086,15.0,17.0,0.0,5.0
623,14087,4.0,10.0,0.0,0.0
624,14088,26.0,24.0,1.0,0.0
625,14089,1.0,7.0,1.0,4.0
626,14090,3.0,4.0,1.0,1.0
627,14091,16.0,25.0,2.0,0.0
628,14092,13.0,19.0,0.0,0.0
629,14093,179.0,234.0,26.0,32.0
630,14094,74.0,69.0,11.0,23.0
631,14095,3.0,2.0,1.0,2.0
632,14096,29.0,25.0,1.0,4.0
633,14097,1073.0,507.0,67.0,568.0
634,14098,1241.0,546.0,54.0,1748.0
635,14099,2.0,5.0,0.0,0.0
636,14100,27.0,24.0,2.0,4.0
637,14101,983.0,337.0,32.0,1443.0
638,14102,1.0,3.0,0.0,0.0
639,14103,0.0,3.0,0.0,1.0
640,14104,1.0,0.0,0.0,0.0
641,14105,11.0,9.0,1.0,4.0
642,14106,0.0,7.0,1.0,0.0
643,14107,7.0,20.0,0.0,1.0
644,14108,19.0,21.0,2.0,4.0
645,14109,2.0,4.0,0.0,2.0
646,14110,13.0,20.0,0.0,2.0
647,14111,6.0,8.0,3.0,1.0
648,14112,3.0,26.0,0.0,0.0
649,14113,7.0,27.0,0.0,0.0
650,14114,12.0,34.0,3.0,14.0
651,14115,1.0,2.0,0.0,0.0
652,14116,5.0,6.0,1.0,2.0
653,14117,8.0,1.0,2.0,0.0
654,14118,22.0,23.0,1.0,2.0
655,14119,37.0,55.0,4.0,8.0
656,14120,2211.0,1216.0,135.0,2637.0
657,14121,67.0,40.0,6.0,6.0
658,14122,1.0,4.0,0.0,0.0
659,14123,14.0,8.0,0.0,1.0
660,14124,44.0,104.0,8.0,52.0
661,14125,6.0,41.0,8.0,3.0
662,14998,41.0,18.0,3.0,1.0
663,15001,0.0,53.0,3.0,14.0
664,15002,0.0,124.0,19.0,99.0
665,15003,0.0,28.0,3.0,3.0
666,15004,0.0,7.0,0.0,1.0
667,15005,0.0,190.0,56.0,99.0
668,15006,0.0,7.0,5.0,3.0
669,15007,0.0,38.0,9.0,2.0
670,15008,0.0,11.0,0.0,1.0
671,15009,0.0,47.0,14.0,38.0
672,15010,0.0,23.0,2.0,13.0
673,15011,0.0,46.0,10.0,17.0
674,15012,0.0,11.0,4.0,6.0
675,15013,0.0,587.0,100.0,605.0
676,15014,0.0,126.0,9.0,67.0
677,15015,0.0,18.0,8.0,6.0
678,15016,0.0,33.0,2.0,12.0
679,15017,0.0,4.0,6.0,3.0
680,15018,0.0,65.0,8.0,12.0
681,15019,0.0,23.0,8.0,16.0
682,15020,0.0,295.0,40.0,638.0
683,15021,0.0,23.0,6.0,5.0
684,15022,0.0,16.0,1.0,10.0
685,15023,0.0,27.0,7.0,30.0
686,15024,0.0,154.0,53.0,257.0
687,15025,0.0,356.0,106.0,678.0
688,15026,0.0,27.0,1.0,3.0
689,15027,0.0,13.0,3.0,11.0
690,15028,0.0,22.0,8.0,5.0
691,15029,0.0,170.0,43.0,434.0
692,15030,0.0,22.0,7.0,11.0
693,15031,0.0,446.0,142.0,1007.0
694,15032,0.0,30.0,7.0,2.0
695,15033,0.0,1565.0,403.0,4151.0
696,15034,0.0,3.0,2.0,2.0
697,15035,0.0,165.0,39.0,375.0
698,15036,0.0,24.0,6.0,5.0
699,15037,0.0,234.0,48.0,379.0
700,15038,0.0,30.0,5.0,2.0
701,15039,0.0,333.0,121.0,539.0
702,15040,0.0,47.0,9.0,8.0
703,15041,0.0,1.0,0.0,0.0
704,15042,0.0,104.0,11.0,21.0
705,15043,0.0,24.0,6.0,14.0
706,15044,0.0,17.0,5.0,33.0
707,15045,0.0,70.0,13.0,14.0
708,15046,0.0,24.0,8.0,10.0
709,15047,0.0,39.0,10.0,3.0
710,15048,0.0,55.0,4.0,6.0
711,15049,0.0,13.0,1.0,1.0
712,15050,0.0,24.0,3.0,5.0
713,15051,0.0,187.0,51.0,151.0
714,15052,0.0,23.0,4.0,4.0
715,15053,0.0,61.0,18.0,57.0
716,15054,0.0,346.0,100.0,523.0
717,15055,0.0,14.0,9.0,24.0
718,15056,0.0,16.0,5.0,3.0
719,15057,0.0,835.0,204.0,2587.0
720,15058,0.0,759.0,262.0,1294.0
721,15059,0.0,72.0,16.0,72.0
722,15060,0.0,431.0,101.0,389.0
723,15061,0.0,16.0,0.0,9.0
724,15062,0.0,89.0,17.0,28.0
725,15063,0.0,46.0,4.0,1.0
726,15064,0.0,37.0,1.0,2.0
727,15065,0.0,40.0,15.0,15.0
728,15066,0.0,1.0,0.0,0.0
729,15067,0.0,47.0,5.0,23.0
730,15068,0.0,14.0,7.0,20.0
731,15069,0.0,3.0,1.0,2.0
732,15070,0.0,196.0,63.0,500.0
733,15071,0.0,14.0,2.0,2.0
734,15072,0.0,10.0,3.0,2.0
735,15073,0.0,28.0,10.0,19.0
736,15074,0.0,49.0,1.0,6.0
737,15075,0.0,23.0,8.0,10.0
738,15076,0.0,109.0,26.0,113.0
739,15077,0.0,2.0,0.0,1.0
740,15078,0.0,6.0,1.0,1.0
741,15079,0.0,18.0,2.0,0.0
742,15080,0.0,7.0,2.0,0.0
743,15081,0.0,543.0,129.0,753.0
744,15082,0.0,46.0,7.0,4.0
745,15083,0.0,18.0,1.0,3.0
746,15084,0.0,37.0,4.0,16.0
747,15085,0.0,35.0,4.0,1.0
748,15086,0.0,16.0,0.0,1.0
749,15087,0.0,74.0,19.0,39.0
750,15088,0.0,112.0,31.0,44.0
751,15089,0.0,10.0,2.0,2.0
752,15090,0.0,62.0,23.0,35.0
753,15091,0.0,66.0,11.0,72.0
754,15092,0.0,68.0,9.0,37.0
755,15093,0.0,25.0,10.0,4.0
756,15094,0.0,14.0,1.0,12.0
757,15095,0.0,109.0,22.0,175.0
758,15096,0.0,19.0,3.0,18.0
759,15097,0.0,4.0,0.0,1.0
760,15098,0.0,6.0,0.0,0.0
761,15099,0.0,338.0,89.0,270.0
762,15100,0.0,42.0,6.0,43.0
763,15101,0.0,99.0,13.0,67.0
764,15102,0.0,13.0,2.0,1.0
765,15103,0.0,46.0,16.0,16.0
766,15104,0.0,902.0,156.0,1238.0
767,15105,0.0,1.0,0.0,1.0
768,15106,0.0,1491.0,377.0,1748.0
769,15107,0.0,16.0,2.0,7.0
770,15108,0.0,160.0,47.0,158.0
771,15109,0.0,501.0,76.0,1648.0
772,15110,0.0,197.0,29.0,16.0
773,15111,0.0,39.0,9.0,6.0
774,15112,0.0,48.0,6.0,3.0
775,15113,0.0,50.0,13.0,14.0
776,15114,0.0,68.0,8.0,6.0
777,15115,0.0,53.0,21.0,38.0
778,15116,0.0,0.0,0.0,0.0
779,15117,0.0,11.0,2.0,2.0
780,15118,0.0,232.0,50.0,267.0
781,15119,0.0,10.0,0.0,0.0
782,15120,0.0,287.0,52.0,364.0
783,15121,0.0,585.0,131.0,1259.0
784,15122,0.0,200.0,60.0,598.0
785,15123,0.0,2.0,1.0,0.0
786,15124,0.0,27.0,1.0,5.0
787,15125,0.0,20.0,3.0,5.0
788,16001,14.0,7.0,1.0,0.0
789,16002,1.0,2.0,0.0,0.0
790,16003,21.0,7.0,1.0,4.0
791,16004,3.0,1.0,0.0,0.0
792,16005,8.0,7.0,0.0,0.0
793,16006,137.0,110.0,0.0,22.0
794,16007,1.0,1.0,0.0,0.0
795,16008,14.0,9.0,1.0,0.0
796,16009,11.0,20.0,1.0,2.0
797,16010,4.0,9.0,0.0,1.0
798,16011,2.0,5.0,0.0,0.0
799,16012,10.0,6.0,0.0,1.0
800,16013,2.0,1.0,0.0,0.0
801,16014,19.0,7.0,0.0,0.0
802,16015,42.0,41.0,0.0,2.0
803,16016,5.0,5.0,0.0,1.0
804,16017,7.0,19.0,0.0,0.0
805,16018,8.0,11.0,0.0,0.0
806,16019,7.0,3.0,0.0,1.0
807,16020,14.0,14.0,0.0,2.0
808,16021,5.0,5.0,0.0,0.0
809,16022,32.0,17.0,0.0,3.0
810,16023,0.0,1.0,0.0,0.0
811,16024,1.0,3.0,0.0,0.0
812,16025,20.0,17.0,0.0,2.0
813,16026,17.0,6.0,0.0,0.0
814,16027,2.0,4.0,0.0,0.0
815,16028,1.0,1.0,0.0,0.0
816,16029,2.0,1.0,0.0,0.0
817,16030,1.0,2.0,0.0,0.0
818,16031,5.0,8.0,0.0,0.0
819,16032,13.0,6.0,1.0,0.0
820,16033,5.0,13.0,0.0,0.0
821,16034,145.0,108.0,2.0,12.0
822,16035,2.0,3.0,0.0,0.0
823,16036,5.0,0.0,0.0,0.0
824,16037,1.0,1.0,0.0,0.0
825,16038,50.0,44.0,0.0,2.0
826,16039,4.0,6.0,0.0,0.0
827,16040,35.0,22.0,0.0,3.0
828,16041,16.0,9.0,0.0,0.0
829,16042,3.0,1.0,0.0,0.0
830,16043,47.0,28.0,0.0,5.0
831,16044,7.0,7.0,0.0,1.0
832,16045,14.0,28.0,0.0,0.0
833,16046,2.0,6.0,0.0,0.0
834,16047,14.0,16.0,0.0,1.0
835,16048,8.0,7.0,0.0,1.0
836,16049,15.0,8.0,0.0,0.0
837,16050,51.0,86.0,0.0,1.0
838,16051,5.0,2.0,0.0,1.0
839,16052,191.0,257.0,3.0,71.0
840,16053,1883.0,1399.0,16.0,542.0
841,16054,2.0,3.0,0.0,0.0
842,16055,14.0,29.0,0.0,4.0
843,16056,19.0,14.0,0.0,1.0
844,16057,6.0,9.0,0.0,0.0
845,16058,10.0,5.0,0.0,0.0
846,16059,1.0,3.0,0.0,0.0
847,16060,0.0,2.0,0.0,2.0
848,16061,21.0,9.0,0.0,1.0
849,16062,5.0,2.0,0.0,0.0
850,16063,2.0,6.0,0.0,0.0
851,16064,6.0,4.0,0.0,0.0
852,16065,29.0,23.0,0.0,2.0
853,16066,211.0,106.0,2.0,15.0
854,16067,3.0,5.0,0.0,0.0
855,16068,15.0,23.0,0.0,0.0
856,16069,70.0,73.0,1.0,23.0
857,16070,9.0,3.0,0.0,1.0
858,16071,52.0,26.0,1.0,6.0
859,16072,25.0,11.0,0.0,2.0
860,16073,14.0,9.0,0.0,2.0
861,16074,3.0,5.0,0.0,0.0
862,16075,40.0,56.0,0.0,2.0
863,16076,54.0,75.0,1.0,5.0
864,16077,6.0,3.0,0.0,0.0
865,16078,9.0,4.0,0.0,0.0
866,16079,44.0,40.0,1.0,3.0
867,16080,3.0,9.0,0.0,0.0
868,16081,3.0,1.0,0.0,0.0
869,16082,33.0,34.0,1.0,2.0
870,16083,5.0,11.0,1.0,2.0
871,16084,5.0,6.0,0.0,1.0
872,16085,28.0,21.0,0.0,2.0
873,16086,2.0,1.0,0.0,1.0
874,16087,8.0,12.0,0.0,0.0
875,16088,179.0,70.0,0.0,23.0
876,16089,31.0,20.0,0.0,1.0
877,16090,6.0,9.0,1.0,0.0
878,16091,5.0,3.0,0.0,1.0
879,16092,6.0,5.0,0.0,0.0
880,16093,11.0,21.0,1.0,0.0
881,16094,2.0,1.0,0.0,0.0
882,16095,3.0,4.0,0.0,0.0
