,cve_ent_mun,Amenazas,Daño a la propiedad,Extorsión,Robo a negocio
2220,30128,64.0,49.0,4.0,35.0
2221,30129,13.0,15.0,5.0,1.0
2222,30130,35.0,18.0,1.0,1.0
2223,30131,269.0,329.0,24.0,326.0
2224,30132,10.0,9.0,0.0,4.0
2225,30133,33.0,29.0,1.0,3.0
2226,30134,6.0,17.0,0.0,2.0
2227,30135,18.0,19.0,5.0,2.0
2228,30136,5.0,4.0,1.0,1.0
2229,30137,1.0,5.0,0.0,0.0
2230,30138,61.0,53.0,5.0,30.0
2231,30139,10.0,2.0,0.0,1.0
2232,30140,1.0,0.0,0.0,0.0
2233,30141,321.0,196.0,17.0,31.0
2234,30142,15.0,12.0,1.0,3.0
2235,30143,84.0,46.0,1.0,10.0
2236,30144,23.0,13.0,0.0,6.0
2237,30145,18.0,11.0,0.0,4.0
2238,30146,2.0,1.0,0.0,0.0
2239,30147,4.0,3.0,0.0,0.0
2240,30148,17.0,14.0,0.0,4.0
2241,30149,12.0,11.0,0.0,0.0
2242,30150,3.0,1.0,0.0,0.0
2243,30151,8.0,8.0,1.0,0.0
2244,30152,2.0,4.0,0.0,0.0
2245,30153,4.0,3.0,1.0,0.0
2246,30154,3.0,3.0,0.0,1.0
2247,30155,58.0,71.0,26.0,17.0
2248,30156,1.0,1.0,0.0,0.0
2249,30157,14.0,11.0,0.0,3.0
2250,30158,17.0,20.0,1.0,6.0
2251,30159,6.0,6.0,1.0,0.0
2252,30160,77.0,93.0,11.0,29.0
2253,30161,22.0,24.0,1.0,7.0
2254,30162,2.0,3.0,0.0,1.0
2255,30163,0.0,1.0,0.0,0.0
2256,30164,4.0,6.0,3.0,2.0
2257,30165,4.0,2.0,0.0,1.0
2258,30166,6.0,1.0,0.0,0.0
2259,30167,6.0,8.0,2.0,0.0
2260,30168,5.0,7.0,1.0,1.0
2261,30169,10.0,12.0,0.0,2.0
2262,30170,4.0,4.0,0.0,0.0
2263,30171,4.0,2.0,1.0,0.0
2264,30172,13.0,8.0,0.0,2.0
2265,30173,13.0,10.0,0.0,4.0
2266,30174,106.0,129.0,6.0,40.0
2267,30175,72.0,86.0,3.0,48.0
2268,30176,5.0,7.0,0.0,0.0
2269,30177,3.0,2.0,1.0,0.0
2270,30178,13.0,16.0,0.0,3.0
2271,30179,3.0,4.0,0.0,0.0
2272,30180,2.0,1.0,0.0,0.0
2273,30181,14.0,20.0,1.0,9.0
2274,30182,15.0,6.0,2.0,1.0
2275,30183,97.0,58.0,7.0,19.0
2276,30184,7.0,5.0,0.0,1.0
2277,30185,6.0,5.0,0.0,2.0
2278,30186,1.0,6.0,0.0,1.0
2279,30187,3.0,0.0,0.0,0.0
2280,30188,11.0,17.0,1.0,1.0
2281,30189,201.0,230.0,22.0,127.0
2282,30190,4.0,0.0,0.0,1.0
2283,30191,19.0,15.0,3.0,5.0
