;cve_ent_mun;Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida;Restaurantes con servicio de preparación de antojitos;Restaurantes con servicio de preparación de pescados y mariscos;Restaurantes con servicio de preparación de pizzas, hamburguesas, hot dogs y pollos rostizados para llevar;Restaurantes con servicio de preparación de tacos y tortas;Restaurantes de autoservicio;Restaurantes que preparan otro tipo de alimentos para llevar
555;16045;25.0;55.0;5.0;19.0;97.0;0.0;31.0
556;16046;2.0;8.0;1.0;3.0;15.0;0.0;7.0
557;16047;5.0;13.0;1.0;3.0;12.0;0.0;3.0
558;16048;1.0;5.0;1.0;5.0;3.0;0.0;2.0
559;16049;3.0;9.0;6.0;11.0;34.0;0.0;4.0
560;16050;25.0;77.0;9.0;40.0;86.0;6.0;65.0
561;16051;9.0;28.0;1.0;14.0;38.0;4.0;3.0
562;16052;115.0;389.0;126.0;126.0;287.0;10.0;155.0
563;16053;536.0;1076.0;176.0;686.0;1394.0;108.0;730.0
564;16054;2.0;7.0;0.0;5.0;7.0;0.0;0.0
565;16055;11.0;188.0;24.0;25.0;86.0;3.0;24.0
566;16056;2.0;19.0;5.0;19.0;27.0;0.0;12.0
567;16057;7.0;13.0;1.0;0.0;3.0;0.0;3.0
568;16058;16.0;73.0;12.0;19.0;66.0;1.0;22.0
569;16059;0.0;5.0;3.0;2.0;11.0;0.0;2.0
570;16060;1.0;13.0;4.0;9.0;18.0;0.0;3.0
571;16061;2.0;12.0;0.0;9.0;26.0;0.0;7.0
572;16062;2.0;42.0;1.0;11.0;37.0;0.0;11.0
573;16063;7.0;6.0;4.0;6.0;10.0;0.0;0.0
574;16064;2.0;57.0;10.0;14.0;38.0;0.0;9.0
575;16065;10.0;109.0;14.0;31.0;73.0;1.0;30.0
576;16066;105.0;120.0;22.0;75.0;117.0;4.0;45.0
577;16067;5.0;10.0;3.0;7.0;6.0;0.0;2.0
578;16068;6.0;19.0;2.0;12.0;48.0;0.0;6.0
579;16069;55.0;106.0;18.0;63.0;162.0;5.0;25.0
580;16070;5.0;19.0;6.0;13.0;40.0;0.0;5.0
581;16071;16.0;60.0;9.0;28.0;78.0;2.0;7.0
582;16072;5.0;11.0;4.0;15.0;32.0;0.0;4.0
583;16073;6.0;73.0;9.0;18.0;46.0;1.0;21.0
584;16074;4.0;9.0;0.0;5.0;22.0;0.0;3.0
585;16075;29.0;131.0;13.0;42.0;151.0;5.0;31.0
586;16076;43.0;130.0;10.0;29.0;231.0;6.0;60.0
587;16077;13.0;39.0;3.0;5.0;8.0;0.0;4.0
588;16078;4.0;23.0;4.0;15.0;20.0;0.0;5.0
589;16079;19.0;55.0;17.0;26.0;63.0;1.0;20.0
590;16080;2.0;3.0;2.0;3.0;13.0;0.0;2.0
591;16081;2.0;2.0;0.0;0.0;1.0;0.0;1.0
592;16082;21.0;145.0;16.0;39.0;145.0;2.0;26.0
593;16083;13.0;19.0;3.0;11.0;38.0;1.0;7.0
594;16084;4.0;68.0;3.0;13.0;30.0;0.0;8.0
595;16085;9.0;44.0;10.0;24.0;54.0;0.0;12.0
596;16086;4.0;17.0;1.0;8.0;23.0;0.0;5.0
597;16087;1.0;21.0;4.0;9.0;23.0;0.0;6.0
598;16088;9.0;68.0;8.0;45.0;50.0;0.0;16.0
599;16089;14.0;101.0;7.0;19.0;34.0;1.0;5.0
600;16090;3.0;67.0;7.0;24.0;42.0;0.0;13.0
601;16091;6.0;24.0;3.0;4.0;14.0;0.0;5.0
602;16092;7.0;9.0;1.0;4.0;9.0;1.0;3.0
603;16093;12.0;5.0;0.0;6.0;15.0;3.0;11.0
604;16094;3.0;3.0;1.0;4.0;1.0;0.0;1.0
605;16095;5.0;29.0;1.0;4.0;23.0;0.0;4.0
606;16096;5.0;7.0;0.0;0.0;0.0;0.0;1.0
607;16097;7.0;53.0;6.0;15.0;47.0;1.0;16.0
608;16098;6.0;20.0;2.0;22.0;35.0;0.0;10.0
609;16099;11.0;15.0;0.0;8.0;25.0;1.0;3.0
610;16100;5.0;16.0;2.0;5.0;5.0;0.0;5.0
611;16101;3.0;2.0;0.0;1.0;3.0;0.0;2.0
612;16102;167.0;867.0;101.0;349.0;652.0;22.0;291.0
613;16103;14.0;38.0;2.0;12.0;73.0;1.0;7.0
614;16104;6.0;14.0;1.0;5.0;16.0;0.0;2.0
615;16105;5.0;44.0;4.0;5.0;32.0;1.0;5.0
616;16106;19.0;69.0;5.0;16.0;101.0;1.0;19.0
617;16107;38.0;110.0;37.0;63.0;143.0;5.0;36.0
618;16108;103.0;339.0;50.0;134.0;486.0;13.0;90.0
619;16109;1.0;2.0;1.0;3.0;2.0;0.0;1.0
620;16110;13.0;53.0;12.0;26.0;63.0;4.0;8.0
621;16111;4.0;38.0;7.0;12.0;21.0;1.0;3.0
622;16112;84.0;216.0;17.0;105.0;237.0;11.0;104.0
623;16113;4.0;41.0;8.0;17.0;32.0;2.0;6.0
624;17001;10.0;28.0;1.0;4.0;19.0;0.0;12.0
625;17002;17.0;31.0;4.0;16.0;28.0;4.0;17.0
626;17003;19.0;122.0;4.0;35.0;64.0;7.0;38.0
627;17004;14.0;159.0;6.0;43.0;153.0;3.0;33.0
628;17005;3.0;14.0;0.0;5.0;9.0;0.0;4.0
629;17006;155.0;586.0;53.0;155.0;573.0;28.0;260.0
630;17007;443.0;708.0;61.0;303.0;622.0;71.0;381.0
631;17008;37.0;136.0;11.0;54.0;88.0;5.0;87.0
632;17009;50.0;103.0;3.0;18.0;24.0;1.0;4.0
633;17010;7.0;31.0;2.0;14.0;39.0;3.0;20.0
634;17011;56.0;353.0;23.0;118.0;203.0;24.0;215.0
635;17012;76.0;180.0;16.0;41.0;96.0;9.0;86.0
636;17013;5.0;52.0;0.0;14.0;29.0;0.0;4.0
637;17014;2.0;36.0;0.0;4.0;15.0;0.0;11.0
638;17015;5.0;25.0;1.0;17.0;25.0;0.0;11.0
