;cve_ent_mun;Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida;Restaurantes con servicio de preparación de antojitos;Restaurantes con servicio de preparación de pescados y mariscos;Restaurantes con servicio de preparación de pizzas, hamburguesas, hot dogs y pollos rostizados para llevar;Restaurantes con servicio de preparación de tacos y tortas;Restaurantes de autoservicio;Restaurantes que preparan otro tipo de alimentos para llevar
853;20125;1.0;1.0;0.0;0.0;2.0;0.0;1.0
854;20126;3.0;0.0;0.0;2.0;4.0;0.0;2.0
855;20128;0.0;1.0;0.0;0.0;2.0;0.0;3.0
856;20129;1.0;0.0;0.0;0.0;2.0;0.0;0.0
857;20130;0.0;5.0;0.0;1.0;0.0;0.0;5.0
858;20131;1.0;3.0;1.0;9.0;5.0;0.0;5.0
859;20132;0.0;1.0;0.0;0.0;2.0;0.0;1.0
860;20133;1.0;0.0;0.0;0.0;0.0;0.0;3.0
861;20134;2.0;6.0;0.0;9.0;20.0;0.0;6.0
862;20135;0.0;3.0;0.0;3.0;10.0;0.0;1.0
863;20136;3.0;5.0;0.0;10.0;13.0;0.0;0.0
864;20137;1.0;2.0;0.0;0.0;1.0;0.0;1.0
865;20138;0.0;0.0;0.0;0.0;0.0;0.0;1.0
866;20139;1.0;0.0;0.0;0.0;0.0;0.0;1.0
867;20141;1.0;15.0;17.0;12.0;7.0;0.0;31.0
868;20143;3.0;23.0;4.0;7.0;7.0;0.0;23.0
869;20144;0.0;0.0;0.0;0.0;1.0;0.0;0.0
870;20145;9.0;6.0;3.0;5.0;8.0;0.0;8.0
871;20146;1.0;0.0;0.0;0.0;1.0;0.0;0.0
872;20148;0.0;0.0;0.0;0.0;0.0;0.0;1.0
873;20149;0.0;4.0;0.0;0.0;1.0;0.0;1.0
874;20150;7.0;12.0;6.0;15.0;16.0;0.0;11.0
875;20152;2.0;0.0;0.0;0.0;0.0;0.0;1.0
876;20153;5.0;6.0;1.0;1.0;14.0;1.0;3.0
877;20154;0.0;0.0;0.0;0.0;1.0;0.0;2.0
878;20155;1.0;1.0;0.0;0.0;0.0;0.0;3.0
879;20156;3.0;4.0;0.0;2.0;3.0;1.0;6.0
880;20157;23.0;26.0;3.0;10.0;30.0;0.0;37.0
881;20158;0.0;1.0;0.0;0.0;0.0;0.0;3.0
882;20159;2.0;3.0;0.0;1.0;1.0;0.0;1.0
883;20160;0.0;2.0;0.0;1.0;2.0;0.0;5.0
884;20162;0.0;1.0;0.0;0.0;0.0;0.0;1.0
885;20163;1.0;2.0;0.0;1.0;2.0;0.0;2.0
886;20164;0.0;1.0;0.0;3.0;2.0;0.0;1.0
887;20165;0.0;1.0;0.0;1.0;0.0;0.0;1.0
888;20166;0.0;11.0;0.0;10.0;8.0;0.0;4.0
889;20167;0.0;0.0;0.0;0.0;1.0;0.0;0.0
890;20168;2.0;0.0;0.0;0.0;0.0;0.0;2.0
891;20169;0.0;3.0;0.0;1.0;2.0;0.0;0.0
892;20170;2.0;0.0;0.0;1.0;2.0;0.0;2.0
893;20171;0.0;1.0;0.0;4.0;12.0;0.0;10.0
894;20173;1.0;1.0;0.0;0.0;0.0;0.0;1.0
895;20174;4.0;9.0;2.0;6.0;11.0;0.0;3.0
896;20175;1.0;1.0;0.0;0.0;0.0;0.0;1.0
897;20176;4.0;3.0;0.0;0.0;1.0;0.0;4.0
898;20177;10.0;19.0;2.0;4.0;17.0;0.0;7.0
899;20178;0.0;0.0;0.0;0.0;1.0;0.0;0.0
900;20179;1.0;1.0;0.0;0.0;3.0;0.0;3.0
901;20180;1.0;2.0;0.0;0.0;2.0;0.0;0.0
902;20181;1.0;1.0;0.0;0.0;0.0;0.0;1.0
903;20182;1.0;0.0;0.0;1.0;0.0;0.0;0.0
904;20183;1.0;0.0;0.0;0.0;1.0;0.0;0.0
905;20184;101.0;391.0;19.0;127.0;263.0;7.0;144.0
906;20185;3.0;4.0;0.0;4.0;5.0;0.0;13.0
907;20186;0.0;0.0;0.0;0.0;2.0;0.0;2.0
908;20187;1.0;1.0;0.0;0.0;0.0;0.0;0.0
909;20188;1.0;0.0;0.0;1.0;2.0;0.0;1.0
910;20189;2.0;0.0;0.0;0.0;1.0;0.0;1.0
911;20190;13.0;19.0;0.0;7.0;16.0;1.0;5.0
912;20192;3.0;2.0;1.0;0.0;2.0;0.0;1.0
913;20193;0.0;2.0;0.0;0.0;2.0;0.0;2.0
914;20194;1.0;1.0;0.0;0.0;2.0;0.0;2.0
915;20195;0.0;0.0;0.0;0.0;1.0;0.0;1.0
916;20196;0.0;0.0;0.0;0.0;2.0;0.0;1.0
917;20197;3.0;6.0;1.0;1.0;6.0;1.0;12.0
918;20198;6.0;22.0;0.0;6.0;9.0;0.0;5.0
919;20199;0.0;0.0;0.0;0.0;1.0;0.0;1.0
920;20200;2.0;1.0;0.0;0.0;2.0;0.0;1.0
921;20201;2.0;0.0;0.0;0.0;0.0;0.0;1.0
922;20202;16.0;5.0;0.0;2.0;8.0;0.0;9.0
923;20203;1.0;0.0;0.0;1.0;0.0;0.0;1.0
924;20205;0.0;1.0;0.0;0.0;0.0;0.0;0.0
925;20206;1.0;1.0;0.0;0.0;0.0;0.0;0.0
926;20207;0.0;5.0;0.0;1.0;4.0;0.0;0.0
927;20208;4.0;10.0;5.0;4.0;9.0;1.0;2.0
928;20209;0.0;0.0;0.0;0.0;1.0;0.0;1.0
929;20210;1.0;0.0;0.0;1.0;5.0;0.0;3.0
930;20211;1.0;0.0;0.0;0.0;1.0;0.0;0.0
931;20213;2.0;2.0;0.0;1.0;2.0;0.0;2.0
932;20214;1.0;0.0;0.0;1.0;2.0;0.0;1.0
933;20216;1.0;0.0;0.0;0.0;1.0;0.0;1.0
934;20217;1.0;0.0;0.0;0.0;1.0;0.0;0.0
935;20218;0.0;0.0;0.0;0.0;1.0;0.0;2.0
936;20219;0.0;0.0;0.0;3.0;2.0;0.0;2.0
937;20220;1.0;0.0;0.0;0.0;0.0;0.0;1.0
938;20221;0.0;0.0;0.0;0.0;1.0;0.0;0.0
939;20222;0.0;1.0;0.0;0.0;0.0;0.0;1.0
940;20223;0.0;0.0;0.0;0.0;0.0;0.0;2.0
941;20224;0.0;1.0;0.0;0.0;0.0;0.0;2.0
942;20225;0.0;1.0;0.0;0.0;1.0;0.0;1.0
943;20226;1.0;4.0;0.0;1.0;2.0;0.0;2.0
944;20227;16.0;19.0;8.0;15.0;29.0;1.0;20.0
945;20228;1.0;0.0;0.0;0.0;0.0;0.0;1.0
946;20229;2.0;1.0;0.0;0.0;2.0;0.0;2.0
947;20230;0.0;1.0;0.0;0.0;0.0;0.0;2.0
948;20231;0.0;0.0;0.0;0.0;1.0;0.0;1.0
949;20232;2.0;8.0;0.0;6.0;14.0;0.0;8.0
950;20233;0.0;0.0;0.0;1.0;5.0;0.0;0.0
951;20234;0.0;0.0;0.0;0.0;2.0;0.0;1.0
952;20235;1.0;0.0;0.0;0.0;0.0;0.0;2.0
953;20236;0.0;0.0;0.0;0.0;0.0;0.0;1.0
954;20237;3.0;10.0;0.0;1.0;6.0;0.0;2.0
955;20238;0.0;3.0;0.0;0.0;2.0;0.0;0.0
956;20239;0.0;0.0;0.0;0.0;2.0;0.0;1.0
957;20240;0.0;0.0;0.0;0.0;1.0;0.0;1.0
958;20241;0.0;3.0;0.0;0.0;3.0;0.0;1.0
959;20242;2.0;2.0;0.0;6.0;8.0;0.0;3.0
960;20243;0.0;1.0;0.0;0.0;1.0;1.0;1.0
961;20244;0.0;6.0;0.0;0.0;2.0;0.0;1.0
962;20245;1.0;1.0;0.0;0.0;0.0;0.0;0.0
963;20246;1.0;0.0;0.0;1.0;0.0;0.0;0.0
964;20247;5.0;0.0;1.0;1.0;1.0;0.0;2.0
965;20248;0.0;8.0;3.0;1.0;6.0;0.0;13.0
966;20249;0.0;1.0;0.0;0.0;5.0;0.0;0.0
967;20250;0.0;1.0;0.0;1.0;1.0;0.0;1.0
968;20251;0.0;0.0;0.0;1.0;1.0;0.0;0.0
969;20252;0.0;0.0;0.0;1.0;0.0;0.0;3.0
970;20253;4.0;0.0;0.0;0.0;1.0;0.0;4.0
971;20254;2.0;0.0;0.0;0.0;2.0;0.0;3.0
972;20255;0.0;1.0;0.0;0.0;6.0;0.0;2.0
973;20257;1.0;0.0;0.0;0.0;0.0;0.0;0.0
974;20258;1.0;1.0;0.0;0.0;1.0;0.0;1.0
975;20259;0.0;3.0;0.0;1.0;3.0;0.0;2.0
976;20260;0.0;0.0;0.0;4.0;2.0;0.0;0.0
977;20261;1.0;0.0;0.0;0.0;1.0;0.0;1.0
978;20262;6.0;0.0;0.0;0.0;2.0;0.0;5.0
979;20263;1.0;3.0;0.0;1.0;6.0;0.0;1.0
980;20265;1.0;3.0;0.0;1.0;0.0;0.0;2.0
981;20266;12.0;5.0;2.0;2.0;2.0;0.0;8.0
982;20267;0.0;0.0;0.0;1.0;0.0;0.0;0.0
983;20268;1.0;0.0;0.0;0.0;0.0;0.0;0.0
984;20269;3.0;3.0;0.0;2.0;3.0;1.0;4.0
985;20271;0.0;0.0;0.0;1.0;3.0;0.0;1.0
986;20272;4.0;15.0;0.0;8.0;13.0;0.0;0.0
987;20273;2.0;1.0;0.0;1.0;6.0;0.0;1.0
988;20274;0.0;1.0;0.0;0.0;0.0;0.0;0.0
989;20275;2.0;2.0;0.0;1.0;2.0;0.0;3.0
990;20276;1.0;0.0;0.0;0.0;0.0;0.0;3.0
991;20277;15.0;9.0;2.0;6.0;10.0;0.0;11.0
992;20278;6.0;43.0;15.0;10.0;17.0;0.0;14.0
993;20279;2.0;1.0;0.0;0.0;6.0;0.0;4.0
994;20280;3.0;7.0;0.0;2.0;3.0;0.0;8.0
995;20282;0.0;0.0;0.0;0.0;0.0;0.0;1.0
996;20284;0.0;1.0;0.0;0.0;0.0;0.0;0.0
997;20285;0.0;2.0;0.0;0.0;3.0;0.0;0.0
998;20286;3.0;2.0;0.0;1.0;3.0;0.0;5.0
999;20287;0.0;1.0;0.0;0.0;0.0;0.0;0.0
1000;20289;0.0;0.0;0.0;0.0;3.0;0.0;0.0
1001;20290;0.0;0.0;0.0;0.0;1.0;0.0;2.0
1002;20291;3.0;1.0;1.0;1.0;3.0;0.0;0.0
1003;20292;0.0;1.0;0.0;0.0;0.0;0.0;2.0
1004;20293;16.0;13.0;2.0;7.0;6.0;0.0;16.0
1005;20294;6.0;13.0;0.0;2.0;10.0;0.0;8.0
1006;20295;7.0;35.0;2.0;10.0;15.0;0.0;16.0
1007;20296;0.0;0.0;0.0;0.0;1.0;0.0;4.0
1008;20297;1.0;1.0;0.0;0.0;2.0;0.0;1.0
1009;20298;9.0;17.0;4.0;12.0;29.0;0.0;14.0
1010;20299;0.0;3.0;1.0;0.0;1.0;0.0;2.0
1011;20300;2.0;2.0;1.0;2.0;3.0;0.0;3.0
1012;20301;0.0;1.0;0.0;2.0;2.0;0.0;2.0
1013;20302;0.0;0.0;0.0;2.0;5.0;0.0;2.0
1014;20303;2.0;3.0;0.0;2.0;2.0;0.0;2.0
1015;20305;4.0;17.0;0.0;0.0;3.0;0.0;6.0
1016;20306;2.0;0.0;0.0;0.0;4.0;0.0;0.0
1017;20307;3.0;5.0;0.0;0.0;2.0;0.0;2.0
1018;20308;0.0;11.0;0.0;0.0;2.0;0.0;7.0
1019;20309;3.0;22.0;1.0;3.0;6.0;0.0;0.0
1020;20310;1.0;2.0;0.0;5.0;8.0;0.0;1.0
1021;20311;0.0;1.0;0.0;0.0;0.0;0.0;0.0
1022;20312;2.0;5.0;0.0;1.0;7.0;0.0;4.0
1023;20314;40.0;4.0;3.0;0.0;8.0;0.0;14.0
1024;20315;0.0;0.0;0.0;0.0;0.0;0.0;1.0
1025;20316;0.0;0.0;0.0;0.0;1.0;0.0;2.0
1026;20317;0.0;1.0;0.0;0.0;3.0;0.0;0.0
1027;20318;169.0;146.0;68.0;42.0;140.0;7.0;84.0
1028;20319;0.0;0.0;0.0;0.0;1.0;0.0;0.0
1029;20320;1.0;0.0;0.0;0.0;0.0;0.0;0.0
1030;20322;0.0;0.0;1.0;0.0;1.0;1.0;0.0
1031;20323;0.0;2.0;0.0;0.0;0.0;0.0;2.0
1032;20324;86.0;103.0;26.0;30.0;85.0;2.0;62.0
1033;20325;3.0;0.0;0.0;6.0;9.0;0.0;3.0
1034;20326;0.0;1.0;0.0;1.0;3.0;0.0;1.0
1035;20327;11.0;60.0;4.0;10.0;6.0;0.0;18.0
1036;20328;0.0;1.0;0.0;0.0;0.0;0.0;0.0
1037;20329;1.0;2.0;0.0;0.0;1.0;0.0;3.0
1038;20330;0.0;0.0;0.0;0.0;0.0;0.0;2.0
1039;20332;0.0;0.0;0.0;0.0;0.0;0.0;1.0
1040;20333;4.0;8.0;0.0;4.0;2.0;0.0;11.0
1041;20334;74.0;156.0;64.0;24.0;98.0;0.0;35.0
1042;20335;0.0;0.0;0.0;0.0;0.0;1.0;0.0
1043;20336;0.0;0.0;0.0;0.0;2.0;0.0;1.0
1044;20337;7.0;2.0;2.0;4.0;16.0;1.0;12.0
1045;20338;13.0;32.0;3.0;14.0;19.0;1.0;26.0
1046;20339;6.0;9.0;0.0;3.0;15.0;0.0;7.0
1047;20340;1.0;6.0;0.0;0.0;0.0;0.0;1.0
1048;20341;1.0;0.0;0.0;0.0;0.0;0.0;0.0
1049;20342;3.0;5.0;2.0;1.0;4.0;1.0;10.0
1050;20343;0.0;0.0;0.0;2.0;1.0;0.0;1.0
1051;20344;1.0;2.0;0.0;1.0;2.0;0.0;2.0
1052;20345;1.0;3.0;0.0;0.0;2.0;0.0;1.0
1053;20346;0.0;2.0;0.0;1.0;2.0;0.0;1.0
1054;20347;0.0;0.0;0.0;0.0;1.0;0.0;3.0
1055;20348;2.0;6.0;1.0;3.0;5.0;0.0;3.0
1056;20349;1.0;1.0;0.0;1.0;2.0;0.0;0.0
1057;20350;20.0;43.0;9.0;13.0;27.0;1.0;28.0
1058;20351;3.0;0.0;0.0;0.0;3.0;0.0;2.0
1059;20352;1.0;1.0;0.0;0.0;3.0;0.0;0.0
1060;20353;0.0;1.0;0.0;1.0;3.0;0.0;2.0
1061;20355;0.0;0.0;0.0;0.0;0.0;0.0;1.0
1062;20356;1.0;1.0;0.0;0.0;5.0;1.0;0.0
1063;20357;1.0;2.0;0.0;0.0;0.0;0.0;0.0
1064;20358;0.0;1.0;0.0;0.0;1.0;0.0;0.0
1065;20359;1.0;0.0;0.0;0.0;1.0;0.0;0.0
1066;20360;0.0;3.0;1.0;3.0;4.0;0.0;2.0
1067;20361;0.0;0.0;0.0;0.0;0.0;0.0;1.0
1068;20362;1.0;1.0;0.0;0.0;1.0;0.0;3.0
1069;20363;16.0;6.0;1.0;0.0;6.0;0.0;6.0
1070;20364;36.0;82.0;2.0;13.0;46.0;1.0;17.0
1071;20365;4.0;0.0;0.0;0.0;0.0;0.0;0.0
1072;20366;1.0;0.0;0.0;1.0;8.0;0.0;3.0
1073;20367;1.0;10.0;0.0;1.0;5.0;0.0;1.0
1074;20368;1.0;0.0;0.0;0.0;3.0;0.0;1.0
1075;20369;0.0;1.0;0.0;2.0;8.0;0.0;0.0
1076;20370;1.0;1.0;0.0;0.0;1.0;0.0;1.0
1077;20371;0.0;1.0;0.0;0.0;1.0;0.0;2.0
1078;20372;2.0;1.0;0.0;1.0;0.0;0.0;2.0
1079;20374;0.0;0.0;0.0;0.0;1.0;0.0;1.0
1080;20375;6.0;19.0;2.0;10.0;19.0;0.0;20.0
1081;20376;0.0;0.0;0.0;0.0;0.0;0.0;1.0
1082;20377;1.0;0.0;0.0;2.0;5.0;0.0;4.0
1083;20378;2.0;1.0;0.0;1.0;0.0;0.0;1.0
1084;20379;0.0;0.0;0.0;1.0;0.0;0.0;0.0
1085;20380;0.0;3.0;0.0;0.0;4.0;0.0;4.0
1086;20381;0.0;0.0;0.0;2.0;3.0;0.0;1.0
1087;20382;1.0;1.0;0.0;0.0;2.0;0.0;1.0
1088;20383;0.0;0.0;0.0;0.0;0.0;0.0;2.0
1089;20384;0.0;1.0;0.0;2.0;9.0;0.0;1.0
1090;20385;34.0;153.0;16.0;65.0;119.0;5.0;104.0
1091;20386;0.0;9.0;0.0;2.0;3.0;0.0;3.0
1092;20387;2.0;4.0;0.0;1.0;5.0;0.0;3.0
1093;20388;2.0;0.0;0.0;0.0;0.0;0.0;0.0
1094;20389;0.0;1.0;0.0;0.0;3.0;0.0;0.0
1095;20390;62.0;107.0;19.0;59.0;96.0;6.0;91.0
1096;20391;0.0;0.0;0.0;1.0;0.0;0.0;1.0
1097;20392;1.0;2.0;0.0;2.0;2.0;0.0;3.0
1098;20393;2.0;2.0;0.0;0.0;4.0;0.0;0.0
1099;20394;0.0;0.0;0.0;0.0;1.0;0.0;2.0
1100;20395;0.0;0.0;0.0;0.0;0.0;0.0;1.0
1101;20396;0.0;2.0;0.0;1.0;2.0;0.0;0.0
1102;20397;51.0;82.0;6.0;39.0;79.0;2.0;52.0
1103;20398;6.0;7.0;2.0;5.0;14.0;0.0;2.0
1104;20399;12.0;34.0;4.0;22.0;30.0;0.0;26.0
1105;20400;1.0;0.0;0.0;1.0;1.0;0.0;0.0
1106;20401;91.0;39.0;14.0;16.0;50.0;3.0;19.0
1107;20402;1.0;1.0;0.0;2.0;1.0;0.0;2.0
1108;20403;7.0;10.0;6.0;1.0;4.0;0.0;4.0
1109;20404;0.0;1.0;0.0;0.0;0.0;0.0;0.0
1110;20405;1.0;1.0;0.0;2.0;0.0;0.0;1.0
1111;20406;1.0;2.0;0.0;2.0;7.0;0.0;10.0
1112;20407;1.0;3.0;1.0;1.0;3.0;0.0;1.0
1113;20409;26.0;46.0;8.0;8.0;19.0;0.0;19.0
1114;20410;0.0;0.0;0.0;0.0;0.0;0.0;2.0
1115;20411;0.0;0.0;0.0;0.0;1.0;0.0;0.0
1116;20412;2.0;11.0;0.0;1.0;1.0;0.0;11.0
1117;20413;164.0;87.0;88.0;39.0;83.0;3.0;79.0
1118;20414;2.0;9.0;0.0;2.0;3.0;0.0;1.0
1119;20415;0.0;0.0;0.0;1.0;6.0;0.0;2.0
1120;20417;1.0;3.0;0.0;1.0;5.0;0.0;1.0
1121;20418;11.0;55.0;8.0;10.0;13.0;0.0;25.0
1122;20419;5.0;0.0;0.0;0.0;0.0;1.0;1.0
1123;20420;2.0;0.0;0.0;0.0;1.0;0.0;0.0
1124;20421;0.0;21.0;0.0;2.0;2.0;0.0;18.0
1125;20424;2.0;0.0;0.0;0.0;1.0;0.0;2.0
1126;20425;0.0;0.0;0.0;0.0;0.0;0.0;2.0
1127;20426;2.0;1.0;0.0;0.0;5.0;0.0;0.0
1128;20427;2.0;25.0;0.0;0.0;4.0;0.0;4.0
1129;20428;0.0;0.0;0.0;0.0;0.0;0.0;2.0
1130;20429;1.0;1.0;0.0;0.0;2.0;0.0;1.0
1131;20430;1.0;0.0;0.0;0.0;0.0;0.0;2.0
1132;20431;1.0;2.0;0.0;0.0;2.0;0.0;0.0
1133;20432;0.0;1.0;0.0;0.0;1.0;0.0;1.0
1134;20433;0.0;0.0;0.0;0.0;2.0;0.0;0.0
1135;20434;3.0;0.0;0.0;0.0;3.0;0.0;1.0
1136;20435;1.0;0.0;0.0;1.0;3.0;0.0;1.0
1137;20437;2.0;1.0;0.0;3.0;7.0;0.0;8.0
1138;20438;2.0;0.0;0.0;1.0;1.0;0.0;1.0
1139;20439;62.0;42.0;45.0;13.0;26.0;0.0;37.0
1140;20441;2.0;41.0;13.0;16.0;15.0;0.0;26.0
1141;20442;0.0;0.0;0.0;0.0;0.0;0.0;2.0
1142;20443;0.0;0.0;1.0;1.0;2.0;0.0;0.0
1143;20444;0.0;0.0;0.0;0.0;0.0;0.0;4.0
1144;20446;1.0;0.0;0.0;0.0;0.0;0.0;1.0
1145;20447;7.0;15.0;1.0;6.0;24.0;0.0;9.0
1146;20448;3.0;0.0;0.0;0.0;0.0;0.0;0.0
1147;20449;3.0;3.0;0.0;0.0;2.0;0.0;0.0
1148;20450;2.0;0.0;0.0;2.0;1.0;0.0;1.0
1149;20451;0.0;1.0;0.0;0.0;0.0;0.0;0.0
1150;20452;0.0;3.0;0.0;2.0;1.0;0.0;0.0
1151;20453;5.0;8.0;3.0;1.0;8.0;0.0;9.0
1152;20454;2.0;0.0;0.0;0.0;0.0;0.0;1.0
1153;20455;1.0;1.0;0.0;1.0;2.0;0.0;2.0
1154;20456;0.0;2.0;0.0;0.0;1.0;0.0;1.0
1155;20457;0.0;0.0;0.0;0.0;0.0;0.0;2.0
1156;20458;1.0;0.0;0.0;0.0;1.0;0.0;1.0
1157;20459;1.0;17.0;0.0;5.0;5.0;0.0;10.0
1158;20460;1.0;0.0;0.0;1.0;2.0;0.0;3.0
1159;20462;1.0;10.0;0.0;1.0;1.0;0.0;6.0
1160;20463;0.0;0.0;0.0;0.0;0.0;0.0;2.0
1161;20465;1.0;1.0;0.0;0.0;1.0;0.0;3.0
1162;20466;1.0;6.0;0.0;0.0;5.0;0.0;1.0
1163;20467;19.0;63.0;0.0;12.0;21.0;1.0;11.0
1164;20468;0.0;2.0;0.0;4.0;4.0;0.0;3.0
1165;20469;24.0;71.0;3.0;18.0;38.0;2.0;20.0
1166;20470;0.0;4.0;0.0;0.0;0.0;0.0;1.0
1167;20471;0.0;0.0;0.0;0.0;0.0;0.0;2.0
1168;20472;1.0;21.0;0.0;2.0;3.0;0.0;22.0
1169;20474;1.0;4.0;0.0;1.0;3.0;0.0;5.0
1170;20475;9.0;4.0;3.0;9.0;19.0;1.0;8.0
1171;20476;0.0;0.0;0.0;0.0;0.0;0.0;2.0
1172;20477;1.0;1.0;0.0;0.0;2.0;0.0;0.0
1173;20478;0.0;1.0;0.0;1.0;0.0;0.0;0.0
1174;20480;0.0;0.0;0.0;0.0;1.0;0.0;1.0
1175;20481;2.0;1.0;0.0;0.0;2.0;0.0;2.0
1176;20482;69.0;166.0;7.0;22.0;62.0;1.0;50.0
1177;20483;3.0;6.0;0.0;3.0;11.0;0.0;4.0
1178;20484;1.0;5.0;0.0;2.0;1.0;0.0;9.0
1179;20485;1.0;0.0;0.0;0.0;0.0;0.0;1.0
1180;20486;1.0;13.0;0.0;0.0;4.0;0.0;2.0
1181;20487;0.0;0.0;0.0;0.0;0.0;0.0;2.0
1182;20489;2.0;2.0;0.0;0.0;3.0;0.0;1.0
1183;20490;0.0;0.0;0.0;0.0;0.0;0.0;2.0
1184;20491;1.0;0.0;0.0;0.0;1.0;0.0;3.0
1185;20492;1.0;5.0;0.0;0.0;4.0;0.0;1.0
1186;20494;2.0;0.0;0.0;0.0;0.0;0.0;1.0
1187;20495;0.0;1.0;0.0;0.0;0.0;0.0;1.0
1188;20496;2.0;0.0;0.0;0.0;1.0;0.0;0.0
1189;20497;0.0;2.0;0.0;0.0;5.0;0.0;0.0
1190;20498;0.0;2.0;0.0;0.0;0.0;0.0;1.0
1191;20499;1.0;5.0;0.0;1.0;4.0;0.0;8.0
1192;20500;5.0;5.0;0.0;2.0;8.0;0.0;4.0
1193;20501;0.0;1.0;0.0;0.0;0.0;0.0;0.0
1194;20502;0.0;0.0;0.0;0.0;1.0;0.0;7.0
1195;20503;1.0;1.0;0.0;0.0;0.0;0.0;0.0
1196;20504;1.0;0.0;0.0;1.0;4.0;0.0;0.0
1197;20505;4.0;28.0;2.0;7.0;9.0;1.0;14.0
1198;20506;0.0;0.0;0.0;0.0;1.0;0.0;1.0
1199;20507;3.0;3.0;0.0;0.0;3.0;0.0;2.0
1200;20508;0.0;12.0;1.0;3.0;3.0;0.0;12.0
1201;20509;2.0;9.0;0.0;3.0;5.0;0.0;2.0
1202;20510;1.0;0.0;0.0;0.0;2.0;0.0;0.0
1203;20511;2.0;0.0;0.0;0.0;0.0;0.0;0.0
1204;20512;0.0;0.0;0.0;1.0;0.0;0.0;1.0
1205;20513;3.0;30.0;0.0;3.0;3.0;0.0;6.0
1206;20515;37.0;391.0;37.0;48.0;70.0;4.0;172.0
1207;20516;5.0;1.0;0.0;3.0;5.0;1.0;2.0
1208;20517;2.0;0.0;0.0;3.0;3.0;0.0;3.0
1209;20519;0.0;5.0;0.0;3.0;2.0;0.0;3.0
1210;20520;9.0;9.0;0.0;6.0;4.0;0.0;3.0
1211;20522;0.0;4.0;0.0;1.0;1.0;0.0;1.0
1212;20523;1.0;2.0;0.0;0.0;3.0;0.0;3.0
1213;20524;0.0;0.0;0.0;0.0;0.0;0.0;1.0
1214;20525;17.0;53.0;4.0;10.0;7.0;1.0;13.0
1215;20526;8.0;15.0;1.0;8.0;19.0;0.0;6.0
1216;20527;0.0;0.0;0.0;0.0;0.0;0.0;1.0
1217;20528;1.0;1.0;0.0;4.0;0.0;0.0;1.0
1218;20530;1.0;0.0;0.0;1.0;5.0;0.0;3.0
1219;20531;0.0;2.0;0.0;2.0;5.0;0.0;5.0
1220;20532;4.0;0.0;0.0;0.0;2.0;0.0;1.0
1221;20533;1.0;2.0;0.0;1.0;4.0;0.0;2.0
1222;20534;1.0;1.0;0.0;1.0;6.0;1.0;0.0
1223;20535;1.0;1.0;0.0;0.0;2.0;0.0;2.0
1224;20536;0.0;0.0;0.0;0.0;0.0;0.0;1.0
1225;20537;7.0;4.0;1.0;3.0;2.0;0.0;0.0
1226;20538;0.0;0.0;0.0;0.0;0.0;0.0;1.0
1227;20539;3.0;12.0;1.0;9.0;3.0;0.0;9.0
1228;20540;14.0;32.0;2.0;11.0;11.0;0.0;4.0
1229;20541;1.0;0.0;0.0;1.0;2.0;0.0;1.0
1230;20542;0.0;1.0;0.0;2.0;0.0;0.0;0.0
1231;20543;0.0;5.0;0.0;0.0;4.0;0.0;3.0
1232;20544;1.0;0.0;0.0;2.0;1.0;0.0;1.0
1233;20545;16.0;36.0;7.0;11.0;15.0;1.0;16.0
1234;20546;6.0;3.0;0.0;5.0;3.0;0.0;11.0
1235;20547;0.0;2.0;1.0;0.0;2.0;0.0;4.0
1236;20548;9.0;2.0;0.0;1.0;3.0;0.0;5.0
1237;20549;6.0;12.0;0.0;4.0;5.0;1.0;4.0
1238;20550;2.0;1.0;0.0;2.0;10.0;1.0;8.0
1239;20551;22.0;52.0;5.0;22.0;25.0;1.0;25.0
1240;20552;0.0;0.0;0.0;0.0;0.0;0.0;1.0
1241;20553;21.0;20.0;2.0;12.0;8.0;0.0;45.0
1242;20554;3.0;0.0;0.0;0.0;5.0;0.0;1.0
1243;20555;2.0;0.0;0.0;0.0;0.0;0.0;1.0
1244;20556;0.0;0.0;0.0;0.0;1.0;0.0;0.0
1245;20557;4.0;54.0;10.0;8.0;16.0;0.0;16.0
1246;20558;0.0;0.0;0.0;0.0;0.0;0.0;1.0
1247;20559;18.0;18.0;2.0;15.0;26.0;0.0;2.0
1248;20560;1.0;2.0;0.0;5.0;11.0;0.0;6.0
1249;20561;0.0;1.0;0.0;0.0;2.0;0.0;0.0
1250;20562;0.0;0.0;0.0;0.0;5.0;0.0;1.0
1251;20563;1.0;0.0;0.0;0.0;0.0;0.0;0.0
1252;20564;0.0;0.0;0.0;0.0;2.0;0.0;0.0
1253;20565;13.0;73.0;11.0;33.0;54.0;2.0;42.0
1254;20566;2.0;2.0;0.0;0.0;3.0;0.0;1.0
1255;20567;1.0;0.0;0.0;1.0;7.0;0.0;1.0
1256;20568;1.0;0.0;0.0;0.0;3.0;0.0;3.0
1257;20569;0.0;2.0;0.0;0.0;3.0;0.0;2.0
1258;20570;15.0;38.0;11.0;22.0;28.0;2.0;28.0
1259;21001;2.0;34.0;5.0;32.0;38.0;0.0;16.0
1260;21002;4.0;19.0;1.0;3.0;11.0;1.0;4.0
1261;21003;47.0;47.0;4.0;23.0;81.0;1.0;36.0
1262;21004;13.0;35.0;10.0;34.0;63.0;4.0;16.0
