cve_ent_mun,cve_ent,entidad,cve_mun,municipio,alimentos_carta_y_comida_corrida,antojitos,pescados_y_mariscos,comida_rapida,tacos_tortas,autoservicio,otro_tipo_para_llevar,ing_lab,ocupados,desocupados,pob,pob_muj,pob_hom,pob_0_4,pob_5_9,pob_10_14,pob_15_19,pob_20_24,pob_25_29,pob_30_34,pob_35_39,pob_40_44,pob_45_49,pob_50_54,pob_55_59,pob_60_64,pob_65_more
12043,12,Guerrero,043,Metlatónoc,2.0,1.0,0.0,7.0,10.0,0.0,7.0,,,,18900.0,10118.0,8782.0,2676.0,2941.0,2608.0,1971.0,1423.0,1206.0,1034.0,841.0,735.0,671.0,558.0,486.0,451.0,1299.0
12044,12,Guerrero,044,Mochitlán,1.0,16.0,0.0,6.0,8.0,0.0,8.0,,,,13293.0,6783.0,6510.0,1164.0,1226.0,1245.0,1219.0,1154.0,1091.0,969.0,854.0,775.0,695.0,564.0,479.0,464.0,1394.0
12045,12,Guerrero,045,Olinalá,5.0,11.0,0.0,11.0,17.0,0.0,17.0,1805.45,34760.0,,26455.0,13744.0,12711.0,2820.0,2930.0,3049.0,2805.0,2299.0,1918.0,1620.0,1400.0,1319.0,1272.0,1116.0,969.0,842.0,2096.0
12046,12,Guerrero,046,Ometepec,82.0,77.0,7.0,37.0,69.0,1.0,96.0,,,,70244.0,35994.0,34250.0,7133.0,7640.0,7713.0,7258.0,6513.0,5988.0,5199.0,4310.0,3660.0,3217.0,2744.0,2361.0,1961.0,4547.0
12047,12,Guerrero,047,Pedro Ascencio Alquisiras,2.0,2.0,0.0,1.0,0.0,0.0,2.0,,,,7048.0,3788.0,3260.0,718.0,695.0,728.0,710.0,615.0,516.0,413.0,351.0,339.0,339.0,311.0,285.0,267.0,761.0
12048,12,Guerrero,048,Petatlán,34.0,113.0,11.0,29.0,89.0,0.0,34.0,7888.84,73036.0,,45329.0,22872.0,22457.0,3847.0,4278.0,4362.0,4312.0,3968.0,3634.0,3303.0,2965.0,2687.0,2452.0,2138.0,1905.0,1663.0,3815.0
12049,12,Guerrero,049,Pilcaya,3.0,34.0,1.0,5.0,28.0,0.0,11.0,,,,13351.0,6877.0,6474.0,1231.0,1230.0,1183.0,1148.0,1099.0,1083.0,993.0,851.0,762.0,713.0,617.0,532.0,482.0,1427.0
12050,12,Guerrero,050,Pungarabato,51.0,187.0,9.0,34.0,50.0,3.0,60.0,3899.42,55831.0,1801.0,38772.0,19978.0,18794.0,3446.0,3460.0,3339.0,3384.0,3470.0,3443.0,3100.0,2719.0,2407.0,2154.0,1896.0,1639.0,1323.0,2992.0
12051,12,Guerrero,051,Quechultenango,6.0,39.0,2.0,17.0,28.0,1.0,24.0,,,,37058.0,18970.0,18088.0,3805.0,4222.0,4429.0,3944.0,3148.0,2665.0,2302.0,1967.0,1753.0,1652.0,1482.0,1330.0,1219.0,3140.0
12052,12,Guerrero,052,San Luis Acatlán,40.0,47.0,5.0,16.0,40.0,0.0,44.0,,,,45148.0,22888.0,22260.0,4739.0,5748.0,5833.0,4903.0,3755.0,3280.0,2945.0,2475.0,2149.0,1956.0,1683.0,1463.0,1275.0,2944.0
12053,12,Guerrero,053,San Marcos,30.0,98.0,6.0,20.0,89.0,2.0,35.0,3994.35,67657.0,3512.0,50984.0,25911.0,25073.0,4704.0,4991.0,5213.0,5056.0,4336.0,3669.0,3220.0,2938.0,2758.0,2614.0,2381.0,2181.0,1963.0,4960.0
12054,12,Guerrero,054,San Miguel Totolapan,3.0,9.0,2.0,3.0,7.0,1.0,9.0,,,,28243.0,14380.0,13863.0,3138.0,3160.0,3285.0,3051.0,2497.0,2042.0,1748.0,1542.0,1372.0,1225.0,1041.0,913.0,834.0,2395.0
12055,12,Guerrero,055,Taxco de Alarcón,56.0,145.0,8.0,53.0,134.0,2.0,62.0,,,,112893.0,58774.0,54119.0,8707.0,9547.0,9816.0,9846.0,9561.0,9290.0,8769.0,8149.0,7380.0,6636.0,5784.0,5046.0,4258.0,10104.0
12056,12,Guerrero,056,Tecoanapa,11.0,16.0,2.0,5.0,15.0,0.0,16.0,560.77,17472.0,,47670.0,24173.0,23497.0,4298.0,5062.0,5581.0,5192.0,4106.0,3403.0,3037.0,2636.0,2421.0,2337.0,2083.0,1839.0,1619.0,4056.0
12057,12,Guerrero,057,Técpan de Galeana,79.0,101.0,7.0,27.0,107.0,5.0,59.0,,,,67256.0,33873.0,33383.0,5383.0,5796.0,5904.0,5750.0,5288.0,5057.0,4758.0,4374.0,4085.0,3927.0,3643.0,3350.0,3008.0,6933.0
12058,12,Guerrero,058,Teloloapan,18.0,64.0,3.0,15.0,59.0,3.0,33.0,,,,59409.0,31407.0,28002.0,5542.0,5433.0,5640.0,5624.0,5176.0,4525.0,3725.0,3240.0,3055.0,2949.0,2715.0,2534.0,2386.0,6865.0
12059,12,Guerrero,059,Tepecoacuilco de Trujano,1.0,14.0,5.0,8.0,12.0,0.0,15.0,5163.33,19545.0,3909.0,33104.0,17204.0,15900.0,2515.0,2599.0,2843.0,2938.0,2719.0,2363.0,2032.0,1847.0,1827.0,1905.0,1850.0,1736.0,1598.0,4332.0
12060,12,Guerrero,060,Tetipac,0.0,11.0,1.0,2.0,12.0,1.0,8.0,2128.43,21210.0,,14965.0,7697.0,7268.0,1347.0,1440.0,1534.0,1470.0,1257.0,1102.0,977.0,873.0,811.0,770.0,683.0,590.0,516.0,1595.0
12061,12,Guerrero,061,Tixtla de Guerrero,13.0,118.0,4.0,11.0,51.0,1.0,33.0,5070.38,75915.0,2019.0,44702.0,23229.0,21473.0,3844.0,4059.0,4216.0,4104.0,3823.0,3701.0,3501.0,3119.0,2727.0,2443.0,2106.0,1791.0,1539.0,3729.0
12062,12,Guerrero,062,Tlacoachistlahuaca,6.0,12.0,0.0,6.0,10.0,0.0,3.0,2020.69,19149.0,,24399.0,12926.0,11473.0,2887.0,3373.0,3203.0,2616.0,1999.0,1735.0,1568.0,1335.0,1106.0,929.0,778.0,702.0,647.0,1521.0
12063,12,Guerrero,063,Tlacoapa,0.0,2.0,0.0,1.0,3.0,0.0,11.0,,,,10481.0,5496.0,4985.0,1193.0,1406.0,1313.0,1039.0,795.0,716.0,638.0,537.0,479.0,456.0,407.0,361.0,323.0,818.0
12064,12,Guerrero,064,Tlalchapa,6.0,34.0,2.0,8.0,11.0,0.0,2.0,3854.59,50172.0,,12796.0,6394.0,6402.0,995.0,964.0,1054.0,1062.0,957.0,865.0,779.0,719.0,711.0,716.0,655.0,608.0,600.0,2111.0
12065,12,Guerrero,065,Tlalixtaquilla de Maldonado,3.0,5.0,0.0,7.0,4.0,0.0,5.0,3475.1,23940.0,,7660.0,3985.0,3675.0,785.0,799.0,832.0,749.0,582.0,492.0,461.0,435.0,403.0,366.0,319.0,297.0,283.0,857.0
12066,12,Guerrero,066,Tlapa de Comonfort,40.0,56.0,8.0,49.0,102.0,4.0,122.0,,,,94337.0,49609.0,44728.0,10440.0,10749.0,10690.0,10226.0,9208.0,8097.0,6761.0,5558.0,4640.0,3992.0,3378.0,2872.0,2350.0,5376.0
12067,12,Guerrero,067,Tlapehuala,10.0,55.0,1.0,15.0,23.0,2.0,36.0,,,,22716.0,11749.0,10967.0,2039.0,1950.0,1980.0,1955.0,1884.0,1837.0,1664.0,1448.0,1266.0,1154.0,1061.0,990.0,920.0,2568.0
12068,12,Guerrero,068,La Unión de Isidoro Montes de Oca,11.0,18.0,9.0,5.0,15.0,0.0,3.0,,,,26982.0,13200.0,13782.0,2266.0,2360.0,2368.0,2397.0,2357.0,2285.0,2011.0,1715.0,1535.0,1426.0,1308.0,1229.0,1095.0,2630.0
12069,12,Guerrero,069,Xalpatláhuac,1.0,2.0,0.0,2.0,1.0,0.0,3.0,,,,12239.0,6602.0,5637.0,1326.0,1476.0,1529.0,1337.0,973.0,761.0,682.0,588.0,526.0,503.0,461.0,433.0,418.0,1226.0
