Municipality ID,Municipality,Population Age Range ID,Population Age Range,Sex ID,Sex,Projected Population
7089,Tapachula,6,25 to 29 years,1,Male,15402
7089,Tapachula,6,25 to 29 years,2,Female,17249
7089,Tapachula,7,30 to 34 years,1,Male,14002
7089,Tapachula,7,30 to 34 years,2,Female,16327
7089,Tapachula,8,35 to 39 years,1,Male,12224
7089,Tapachula,8,35 to 39 years,2,Female,15122
7089,Tapachula,9,40 to 44 years,1,Male,11122
7089,Tapachula,9,40 to 44 years,2,Female,14078
7089,Tapachula,10,45 to 49 years,1,Male,10803
7089,Tapachula,10,45 to 49 years,2,Female,12933
7089,Tapachula,11,50 to 54 years,1,Male,9640
7089,Tapachula,11,50 to 54 years,2,Female,11204
7089,Tapachula,12,55 to 59 years,1,Male,7974
7089,Tapachula,12,55 to 59 years,2,Female,9339
7089,Tapachula,13,60 to 64 years,1,Male,6342
7089,Tapachula,13,60 to 64 years,2,Female,7160
7089,Tapachula,14,65 or more years,1,Male,11481
7089,Tapachula,14,65 or more years,2,Female,14349
7090,Tapalapa,1,0 to 4 years,1,Male,243
7090,Tapalapa,1,0 to 4 years,2,Female,214
7090,Tapalapa,2,5 to 9 years,1,Male,250
7090,Tapalapa,2,5 to 9 years,2,Female,252
7090,Tapalapa,3,10 to 14 years,1,Male,243
7090,Tapalapa,3,10 to 14 years,2,Female,253
7090,Tapalapa,4,15 to 19 years,1,Male,202
7090,Tapalapa,4,15 to 19 years,2,Female,211
7090,Tapalapa,5,20 to 24 years,1,Male,163
7090,Tapalapa,5,20 to 24 years,2,Female,169
7090,Tapalapa,6,25 to 29 years,1,Male,160
7090,Tapalapa,6,25 to 29 years,2,Female,156
7090,Tapalapa,7,30 to 34 years,1,Male,151
7090,Tapalapa,7,30 to 34 years,2,Female,153
7090,Tapalapa,8,35 to 39 years,1,Male,125
7090,Tapalapa,8,35 to 39 years,2,Female,141
7090,Tapalapa,9,40 to 44 years,1,Male,109
7090,Tapalapa,9,40 to 44 years,2,Female,123
7090,Tapalapa,10,45 to 49 years,1,Male,101
7090,Tapalapa,10,45 to 49 years,2,Female,111
7090,Tapalapa,11,50 to 54 years,1,Male,86
7090,Tapalapa,11,50 to 54 years,2,Female,99
7090,Tapalapa,12,55 to 59 years,1,Male,72
7090,Tapalapa,12,55 to 59 years,2,Female,90
7090,Tapalapa,13,60 to 64 years,1,Male,65
7090,Tapalapa,13,60 to 64 years,2,Female,85
7090,Tapalapa,14,65 or more years,1,Male,168
7090,Tapalapa,14,65 or more years,2,Female,192
7091,Tapilula,1,0 to 4 years,1,Male,768
7091,Tapilula,1,0 to 4 years,2,Female,759
7091,Tapilula,2,5 to 9 years,1,Male,744
7091,Tapilula,2,5 to 9 years,2,Female,746
7091,Tapilula,3,10 to 14 years,1,Male,759
7091,Tapilula,3,10 to 14 years,2,Female,735
7091,Tapilula,4,15 to 19 years,1,Male,724
7091,Tapilula,4,15 to 19 years,2,Female,695
7091,Tapilula,5,20 to 24 years,1,Male,617
7091,Tapilula,5,20 to 24 years,2,Female,639
7091,Tapilula,6,25 to 29 years,1,Male,562
7091,Tapilula,6,25 to 29 years,2,Female,616
7091,Tapilula,7,30 to 34 years,1,Male,513
7091,Tapilula,7,30 to 34 years,2,Female,590
7091,Tapilula,8,35 to 39 years,1,Male,430
7091,Tapilula,8,35 to 39 years,2,Female,516
7091,Tapilula,9,40 to 44 years,1,Male,366
7091,Tapilula,9,40 to 44 years,2,Female,419
7091,Tapilula,10,45 to 49 years,1,Male,332
7091,Tapilula,10,45 to 49 years,2,Female,365
7091,Tapilula,11,50 to 54 years,1,Male,285
7091,Tapilula,11,50 to 54 years,2,Female,327
7091,Tapilula,12,55 to 59 years,1,Male,242
7091,Tapilula,12,55 to 59 years,2,Female,277
7091,Tapilula,13,60 to 64 years,1,Male,206
7091,Tapilula,13,60 to 64 years,2,Female,230
7091,Tapilula,14,65 or more years,1,Male,483
7091,Tapilula,14,65 or more years,2,Female,466
7092,Tecpatán,1,0 to 4 years,1,Male,2360
7092,Tecpatán,1,0 to 4 years,2,Female,2280
7092,Tecpatán,2,5 to 9 years,1,Male,2591
7092,Tecpatán,2,5 to 9 years,2,Female,2408
7092,Tecpatán,3,10 to 14 years,1,Male,2630
7092,Tecpatán,3,10 to 14 years,2,Female,2453
7092,Tecpatán,4,15 to 19 years,1,Male,2302
7092,Tecpatán,4,15 to 19 years,2,Female,2221
7092,Tecpatán,5,20 to 24 years,1,Male,1807
7092,Tecpatán,5,20 to 24 years,2,Female,1891
7092,Tecpatán,6,25 to 29 years,1,Male,1589
7092,Tecpatán,6,25 to 29 years,2,Female,1769
7092,Tecpatán,7,30 to 34 years,1,Male,1525
7092,Tecpatán,7,30 to 34 years,2,Female,1716
7092,Tecpatán,8,35 to 39 years,1,Male,1369
7092,Tecpatán,8,35 to 39 years,2,Female,1579
7092,Tecpatán,9,40 to 44 years,1,Male,1200
7092,Tecpatán,9,40 to 44 years,2,Female,1402
7092,Tecpatán,10,45 to 49 years,1,Male,1126
7092,Tecpatán,10,45 to 49 years,2,Female,1262
7092,Tecpatán,11,50 to 54 years,1,Male,1037
7092,Tecpatán,11,50 to 54 years,2,Female,1088
7092,Tecpatán,12,55 to 59 years,1,Male,907
7092,Tecpatán,12,55 to 59 years,2,Female,897
7092,Tecpatán,13,60 to 64 years,1,Male,727
7092,Tecpatán,13,60 to 64 years,2,Female,690
7092,Tecpatán,14,65 or more years,1,Male,1626
7092,Tecpatán,14,65 or more years,2,Female,1505
7093,Tenejapa,1,0 to 4 years,1,Male,3552
7093,Tenejapa,1,0 to 4 years,2,Female,3522
7093,Tenejapa,2,5 to 9 years,1,Male,3543
7093,Tenejapa,2,5 to 9 years,2,Female,3477
7093,Tenejapa,3,10 to 14 years,1,Male,3049
7093,Tenejapa,3,10 to 14 years,2,Female,2942
7093,Tenejapa,4,15 to 19 years,1,Male,2491
7093,Tenejapa,4,15 to 19 years,2,Female,2474
7093,Tenejapa,5,20 to 24 years,1,Male,2043
7093,Tenejapa,5,20 to 24 years,2,Female,2185
7093,Tenejapa,6,25 to 29 years,1,Male,1787
7093,Tenejapa,6,25 to 29 years,2,Female,2008
7093,Tenejapa,7,30 to 34 years,1,Male,1468
7093,Tenejapa,7,30 to 34 years,2,Female,1689
7093,Tenejapa,8,35 to 39 years,1,Male,1147
7093,Tenejapa,8,35 to 39 years,2,Female,1342
7093,Tenejapa,9,40 to 44 years,1,Male,940
7093,Tenejapa,9,40 to 44 years,2,Female,1114
7093,Tenejapa,10,45 to 49 years,1,Male,833
7093,Tenejapa,10,45 to 49 years,2,Female,976
7093,Tenejapa,11,50 to 54 years,1,Male,713
7093,Tenejapa,11,50 to 54 years,2,Female,812
7093,Tenejapa,12,55 to 59 years,1,Male,592
7093,Tenejapa,12,55 to 59 years,2,Female,649
7093,Tenejapa,13,60 to 64 years,1,Male,462
7093,Tenejapa,13,60 to 64 years,2,Female,510
7093,Tenejapa,14,65 or more years,1,Male,912
7093,Tenejapa,14,65 or more years,2,Female,1076
7094,Teopisca,1,0 to 4 years,1,Male,3110
7094,Teopisca,1,0 to 4 years,2,Female,3125
7094,Teopisca,2,5 to 9 years,1,Male,3003
7094,Teopisca,2,5 to 9 years,2,Female,3005
7094,Teopisca,3,10 to 14 years,1,Male,2762
7094,Teopisca,3,10 to 14 years,2,Female,2762
7094,Teopisca,4,15 to 19 years,1,Male,2426
7094,Teopisca,4,15 to 19 years,2,Female,2493
7094,Teopisca,5,20 to 24 years,1,Male,2085
7094,Teopisca,5,20 to 24 years,2,Female,2217
7094,Teopisca,6,25 to 29 years,1,Male,1908
7094,Teopisca,6,25 to 29 years,2,Female,1999
7094,Teopisca,7,30 to 34 years,1,Male,1654
7094,Teopisca,7,30 to 34 years,2,Female,1740
7094,Teopisca,8,35 to 39 years,1,Male,1306
7094,Teopisca,8,35 to 39 years,2,Female,1474
7094,Teopisca,9,40 to 44 years,1,Male,1053
7094,Teopisca,9,40 to 44 years,2,Female,1260
7094,Teopisca,10,45 to 49 years,1,Male,951
7094,Teopisca,10,45 to 49 years,2,Female,1114
7094,Teopisca,11,50 to 54 years,1,Male,842
7094,Teopisca,11,50 to 54 years,2,Female,939
7094,Teopisca,12,55 to 59 years,1,Male,687
7094,Teopisca,12,55 to 59 years,2,Female,758
7094,Teopisca,13,60 to 64 years,1,Male,506
7094,Teopisca,13,60 to 64 years,2,Female,581
7094,Teopisca,14,65 or more years,1,Male,1029
7094,Teopisca,14,65 or more years,2,Female,1180
7096,Tila,1,0 to 4 years,1,Male,5235
7096,Tila,1,0 to 4 years,2,Female,5204
7096,Tila,2,5 to 9 years,1,Male,5333
7096,Tila,2,5 to 9 years,2,Female,5207
7096,Tila,3,10 to 14 years,1,Male,5155
7096,Tila,3,10 to 14 years,2,Female,5039
7096,Tila,4,15 to 19 years,1,Male,4658
7096,Tila,4,15 to 19 years,2,Female,4444
7096,Tila,5,20 to 24 years,1,Male,4003
7096,Tila,5,20 to 24 years,2,Female,3750
7096,Tila,6,25 to 29 years,1,Male,3528
7096,Tila,6,25 to 29 years,2,Female,3308
7096,Tila,7,30 to 34 years,1,Male,2966
7096,Tila,7,30 to 34 years,2,Female,2885
7096,Tila,8,35 to 39 years,1,Male,2368
7096,Tila,8,35 to 39 years,2,Female,2451
7096,Tila,9,40 to 44 years,1,Male,1965
7096,Tila,9,40 to 44 years,2,Female,2141
7096,Tila,10,45 to 49 years,1,Male,1811
7096,Tila,10,45 to 49 years,2,Female,1999
7096,Tila,11,50 to 54 years,1,Male,1602
7096,Tila,11,50 to 54 years,2,Female,1772
7096,Tila,12,55 to 59 years,1,Male,1368
7096,Tila,12,55 to 59 years,2,Female,1485
7096,Tila,13,60 to 64 years,1,Male,1154
7096,Tila,13,60 to 64 years,2,Female,1204
7096,Tila,14,65 or more years,1,Male,2329
7096,Tila,14,65 or more years,2,Female,2409
7097,Tonalá,1,0 to 4 years,1,Male,4732
7097,Tonalá,1,0 to 4 years,2,Female,4330
7097,Tonalá,2,5 to 9 years,1,Male,4695
7097,Tonalá,2,5 to 9 years,2,Female,4464
7097,Tonalá,3,10 to 14 years,1,Male,4652
7097,Tonalá,3,10 to 14 years,2,Female,4345
7097,Tonalá,4,15 to 19 years,1,Male,4360
7097,Tonalá,4,15 to 19 years,2,Female,4068
7097,Tonalá,5,20 to 24 years,1,Male,3791
7097,Tonalá,5,20 to 24 years,2,Female,3712
7097,Tonalá,6,25 to 29 years,1,Male,3535
7097,Tonalá,6,25 to 29 years,2,Female,3656
7097,Tonalá,7,30 to 34 years,1,Male,3425
7097,Tonalá,7,30 to 34 years,2,Female,3763
7097,Tonalá,8,35 to 39 years,1,Male,3218
7097,Tonalá,8,35 to 39 years,2,Female,3745
7097,Tonalá,9,40 to 44 years,1,Male,2999
7097,Tonalá,9,40 to 44 years,2,Female,3519
7097,Tonalá,10,45 to 49 years,1,Male,2927
7097,Tonalá,10,45 to 49 years,2,Female,3196
7097,Tonalá,11,50 to 54 years,1,Male,2683
7097,Tonalá,11,50 to 54 years,2,Female,2775
7097,Tonalá,12,55 to 59 years,1,Male,2234
7097,Tonalá,12,55 to 59 years,2,Female,2351
7097,Tonalá,13,60 to 64 years,1,Male,1798
7097,Tonalá,13,60 to 64 years,2,Female,1940
7097,Tonalá,14,65 or more years,1,Male,3835
7097,Tonalá,14,65 or more years,2,Female,4316
7098,Totolapa,1,0 to 4 years,1,Male,465
7098,Totolapa,1,0 to 4 years,2,Female,432
7098,Totolapa,2,5 to 9 years,1,Male,443
7098,Totolapa,2,5 to 9 years,2,Female,400
7098,Totolapa,3,10 to 14 years,1,Male,401
7098,Totolapa,3,10 to 14 years,2,Female,392
7098,Totolapa,4,15 to 19 years,1,Male,379
7098,Totolapa,4,15 to 19 years,2,Female,375
7098,Totolapa,5,20 to 24 years,1,Male,374
7098,Totolapa,5,20 to 24 years,2,Female,376
7098,Totolapa,6,25 to 29 years,1,Male,369
7098,Totolapa,6,25 to 29 years,2,Female,381
7098,Totolapa,7,30 to 34 years,1,Male,327
7098,Totolapa,7,30 to 34 years,2,Female,348
7098,Totolapa,8,35 to 39 years,1,Male,265
7098,Totolapa,8,35 to 39 years,2,Female,291
7098,Totolapa,9,40 to 44 years,1,Male,205
7098,Totolapa,9,40 to 44 years,2,Female,232
7098,Totolapa,10,45 to 49 years,1,Male,175
7098,Totolapa,10,45 to 49 years,2,Female,184
7098,Totolapa,11,50 to 54 years,1,Male,158
7098,Totolapa,11,50 to 54 years,2,Female,147
7098,Totolapa,12,55 to 59 years,1,Male,138
7098,Totolapa,12,55 to 59 years,2,Female,125
7098,Totolapa,13,60 to 64 years,1,Male,112
7098,Totolapa,13,60 to 64 years,2,Female,105
7098,Totolapa,14,65 or more years,1,Male,211
7098,Totolapa,14,65 or more years,2,Female,196
7099,La Trinitaria,1,0 to 4 years,1,Male,4528
7099,La Trinitaria,1,0 to 4 years,2,Female,4259
7099,La Trinitaria,2,5 to 9 years,1,Male,4327
7099,La Trinitaria,2,5 to 9 years,2,Female,4167
7099,La Trinitaria,3,10 to 14 years,1,Male,4114
7099,La Trinitaria,3,10 to 14 years,2,Female,4143
7099,La Trinitaria,4,15 to 19 years,1,Male,3840
7099,La Trinitaria,4,15 to 19 years,2,Female,4086
7099,La Trinitaria,5,20 to 24 years,1,Male,3493
7099,La Trinitaria,5,20 to 24 years,2,Female,3893
7099,La Trinitaria,6,25 to 29 years,1,Male,3367
7099,La Trinitaria,6,25 to 29 years,2,Female,3720
7099,La Trinitaria,7,30 to 34 years,1,Male,3178
7099,La Trinitaria,7,30 to 34 years,2,Female,3493
7099,La Trinitaria,8,35 to 39 years,1,Male,2845
7099,La Trinitaria,8,35 to 39 years,2,Female,3184
7099,La Trinitaria,9,40 to 44 years,1,Male,2461
7099,La Trinitaria,9,40 to 44 years,2,Female,2796
7099,La Trinitaria,10,45 to 49 years,1,Male,2158
7099,La Trinitaria,10,45 to 49 years,2,Female,2419
7099,La Trinitaria,11,50 to 54 years,1,Male,1835
7099,La Trinitaria,11,50 to 54 years,2,Female,2025
7099,La Trinitaria,12,55 to 59 years,1,Male,1612
7099,La Trinitaria,12,55 to 59 years,2,Female,1736
7099,La Trinitaria,13,60 to 64 years,1,Male,1414
7099,La Trinitaria,13,60 to 64 years,2,Female,1438
7099,La Trinitaria,14,65 or more years,1,Male,3164
7099,La Trinitaria,14,65 or more years,2,Female,3071
7100,Tumbalá,1,0 to 4 years,1,Male,2339
7100,Tumbalá,1,0 to 4 years,2,Female,2261
7100,Tumbalá,2,5 to 9 years,1,Male,2353
7100,Tumbalá,2,5 to 9 years,2,Female,2256
7100,Tumbalá,3,10 to 14 years,1,Male,2211
7100,Tumbalá,3,10 to 14 years,2,Female,2154
7100,Tumbalá,4,15 to 19 years,1,Male,1919
7100,Tumbalá,4,15 to 19 years,2,Female,1869
7100,Tumbalá,5,20 to 24 years,1,Male,1578
7100,Tumbalá,5,20 to 24 years,2,Female,1575
7100,Tumbalá,6,25 to 29 years,1,Male,1361
7100,Tumbalá,6,25 to 29 years,2,Female,1442
7100,Tumbalá,7,30 to 34 years,1,Male,1169
7100,Tumbalá,7,30 to 34 years,2,Female,1329
7100,Tumbalá,8,35 to 39 years,1,Male,996
7100,Tumbalá,8,35 to 39 years,2,Female,1177
7100,Tumbalá,9,40 to 44 years,1,Male,878
7100,Tumbalá,9,40 to 44 years,2,Female,1058
7100,Tumbalá,10,45 to 49 years,1,Male,831
7100,Tumbalá,10,45 to 49 years,2,Female,989
7100,Tumbalá,11,50 to 54 years,1,Male,739
7100,Tumbalá,11,50 to 54 years,2,Female,878
7100,Tumbalá,12,55 to 59 years,1,Male,631
7100,Tumbalá,12,55 to 59 years,2,Female,743
7100,Tumbalá,13,60 to 64 years,1,Male,523
7100,Tumbalá,13,60 to 64 years,2,Female,587
7100,Tumbalá,14,65 or more years,1,Male,984
7100,Tumbalá,14,65 or more years,2,Female,1040
7101,Tuxtla Gutiérrez,1,0 to 4 years,1,Male,28785
7101,Tuxtla Gutiérrez,1,0 to 4 years,2,Female,27808
7101,Tuxtla Gutiérrez,2,5 to 9 years,1,Male,27270
7101,Tuxtla Gutiérrez,2,5 to 9 years,2,Female,26012
7101,Tuxtla Gutiérrez,3,10 to 14 years,1,Male,26317
7101,Tuxtla Gutiérrez,3,10 to 14 years,2,Female,25712
7101,Tuxtla Gutiérrez,4,15 to 19 years,1,Male,28568
7101,Tuxtla Gutiérrez,4,15 to 19 years,2,Female,28702
7101,Tuxtla Gutiérrez,5,20 to 24 years,1,Male,31195
7101,Tuxtla Gutiérrez,5,20 to 24 years,2,Female,31619
7101,Tuxtla Gutiérrez,6,25 to 29 years,1,Male,31299
7101,Tuxtla Gutiérrez,6,25 to 29 years,2,Female,32234
7101,Tuxtla Gutiérrez,7,30 to 34 years,1,Male,27377
7101,Tuxtla Gutiérrez,7,30 to 34 years,2,Female,30682
7101,Tuxtla Gutiérrez,8,35 to 39 years,1,Male,23428
7101,Tuxtla Gutiérrez,8,35 to 39 years,2,Female,28761
7101,Tuxtla Gutiérrez,9,40 to 44 years,1,Male,21059
7101,Tuxtla Gutiérrez,9,40 to 44 years,2,Female,26646
7101,Tuxtla Gutiérrez,10,45 to 49 years,1,Male,19459
7101,Tuxtla Gutiérrez,10,45 to 49 years,2,Female,24141
7101,Tuxtla Gutiérrez,11,50 to 54 years,1,Male,16376
7101,Tuxtla Gutiérrez,11,50 to 54 years,2,Female,19915
7101,Tuxtla Gutiérrez,12,55 to 59 years,1,Male,13065
7101,Tuxtla Gutiérrez,12,55 to 59 years,2,Female,15573
7101,Tuxtla Gutiérrez,13,60 to 64 years,1,Male,9806
7101,Tuxtla Gutiérrez,13,60 to 64 years,2,Female,11689
7101,Tuxtla Gutiérrez,14,65 or more years,1,Male,15834
7101,Tuxtla Gutiérrez,14,65 or more years,2,Female,22287
7102,Tuxtla Chico,1,0 to 4 years,1,Male,2318
7102,Tuxtla Chico,1,0 to 4 years,2,Female,2137
7102,Tuxtla Chico,2,5 to 9 years,1,Male,2326
7102,Tuxtla Chico,2,5 to 9 years,2,Female,2169
7102,Tuxtla Chico,3,10 to 14 years,1,Male,2244
7102,Tuxtla Chico,3,10 to 14 years,2,Female,2077
7102,Tuxtla Chico,4,15 to 19 years,1,Male,2118
7102,Tuxtla Chico,4,15 to 19 years,2,Female,2018
7102,Tuxtla Chico,5,20 to 24 years,1,Male,1875
7102,Tuxtla Chico,5,20 to 24 years,2,Female,1949
7102,Tuxtla Chico,6,25 to 29 years,1,Male,1697
7102,Tuxtla Chico,6,25 to 29 years,2,Female,1927
7102,Tuxtla Chico,7,30 to 34 years,1,Male,1567
7102,Tuxtla Chico,7,30 to 34 years,2,Female,1865
7102,Tuxtla Chico,8,35 to 39 years,1,Male,1400
7102,Tuxtla Chico,8,35 to 39 years,2,Female,1727
7102,Tuxtla Chico,9,40 to 44 years,1,Male,1256
7102,Tuxtla Chico,9,40 to 44 years,2,Female,1542
7102,Tuxtla Chico,10,45 to 49 years,1,Male,1222
7102,Tuxtla Chico,10,45 to 49 years,2,Female,1407
7102,Tuxtla Chico,11,50 to 54 years,1,Male,1135
7102,Tuxtla Chico,11,50 to 54 years,2,Female,1265
7102,Tuxtla Chico,12,55 to 59 years,1,Male,978
7102,Tuxtla Chico,12,55 to 59 years,2,Female,1074
7102,Tuxtla Chico,13,60 to 64 years,1,Male,782
7102,Tuxtla Chico,13,60 to 64 years,2,Female,862
7102,Tuxtla Chico,14,65 or more years,1,Male,1732
7102,Tuxtla Chico,14,65 or more years,2,Female,1978
7103,Tuzantán,1,0 to 4 years,1,Male,1910
7103,Tuzantán,1,0 to 4 years,2,Female,1807
7103,Tuzantán,2,5 to 9 years,1,Male,1917
7103,Tuzantán,2,5 to 9 years,2,Female,1745
7103,Tuzantán,3,10 to 14 years,1,Male,1857
7103,Tuzantán,3,10 to 14 years,2,Female,1737
7103,Tuzantán,4,15 to 19 years,1,Male,1703
7103,Tuzantán,4,15 to 19 years,2,Female,1672
7103,Tuzantán,5,20 to 24 years,1,Male,1433
7103,Tuzantán,5,20 to 24 years,2,Female,1554
7103,Tuzantán,6,25 to 29 years,1,Male,1254
7103,Tuzantán,6,25 to 29 years,2,Female,1456
7103,Tuzantán,7,30 to 34 years,1,Male,1136
7103,Tuzantán,7,30 to 34 years,2,Female,1344
7103,Tuzantán,8,35 to 39 years,1,Male,1029
7103,Tuzantán,8,35 to 39 years,2,Female,1214
7103,Tuzantán,9,40 to 44 years,1,Male,932
7103,Tuzantán,9,40 to 44 years,2,Female,1088
7103,Tuzantán,10,45 to 49 years,1,Male,879
7103,Tuzantán,10,45 to 49 years,2,Female,1006
7103,Tuzantán,11,50 to 54 years,1,Male,791
7103,Tuzantán,11,50 to 54 years,2,Female,891
7103,Tuzantán,12,55 to 59 years,1,Male,694
7103,Tuzantán,12,55 to 59 years,2,Female,731
7103,Tuzantán,13,60 to 64 years,1,Male,595
7103,Tuzantán,13,60 to 64 years,2,Female,556
7103,Tuzantán,14,65 or more years,1,Male,1348
7103,Tuzantán,14,65 or more years,2,Female,1213
7104,Tzimol,1,0 to 4 years,1,Male,829
7104,Tzimol,1,0 to 4 years,2,Female,781
7104,Tzimol,2,5 to 9 years,1,Male,762
7104,Tzimol,2,5 to 9 years,2,Female,769
7104,Tzimol,3,10 to 14 years,1,Male,735
7104,Tzimol,3,10 to 14 years,2,Female,754
7104,Tzimol,4,15 to 19 years,1,Male,711
7104,Tzimol,4,15 to 19 years,2,Female,733
7104,Tzimol,5,20 to 24 years,1,Male,713
7104,Tzimol,5,20 to 24 years,2,Female,748
7104,Tzimol,6,25 to 29 years,1,Male,751
7104,Tzimol,6,25 to 29 years,2,Female,790
7104,Tzimol,7,30 to 34 years,1,Male,708
7104,Tzimol,7,30 to 34 years,2,Female,746
7104,Tzimol,8,35 to 39 years,1,Male,596
7104,Tzimol,8,35 to 39 years,2,Female,646
7104,Tzimol,9,40 to 44 years,1,Male,486
7104,Tzimol,9,40 to 44 years,2,Female,554
7104,Tzimol,10,45 to 49 years,1,Male,416
7104,Tzimol,10,45 to 49 years,2,Female,488
7104,Tzimol,11,50 to 54 years,1,Male,363
7104,Tzimol,11,50 to 54 years,2,Female,420
7104,Tzimol,12,55 to 59 years,1,Male,325
7104,Tzimol,12,55 to 59 years,2,Female,355
7104,Tzimol,13,60 to 64 years,1,Male,283
7104,Tzimol,13,60 to 64 years,2,Female,286
7104,Tzimol,14,65 or more years,1,Male,683
7104,Tzimol,14,65 or more years,2,Female,689
7105,Unión Juárez,1,0 to 4 years,1,Male,861
7105,Unión Juárez,1,0 to 4 years,2,Female,763
7105,Unión Juárez,2,5 to 9 years,1,Male,838
7105,Unión Juárez,2,5 to 9 years,2,Female,807
7105,Unión Juárez,3,10 to 14 years,1,Male,800
7105,Unión Juárez,3,10 to 14 years,2,Female,797
7105,Unión Juárez,4,15 to 19 years,1,Male,752
7105,Unión Juárez,4,15 to 19 years,2,Female,757
7105,Unión Juárez,5,20 to 24 years,1,Male,650
7105,Unión Juárez,5,20 to 24 years,2,Female,691
7105,Unión Juárez,6,25 to 29 years,1,Male,584
7105,Unión Juárez,6,25 to 29 years,2,Female,666
7105,Unión Juárez,7,30 to 34 years,1,Male,554
7105,Unión Juárez,7,30 to 34 years,2,Female,655
7105,Unión Juárez,8,35 to 39 years,1,Male,508
7105,Unión Juárez,8,35 to 39 years,2,Female,603
7105,Unión Juárez,9,40 to 44 years,1,Male,463
7105,Unión Juárez,9,40 to 44 years,2,Female,525
7105,Unión Juárez,10,45 to 49 years,1,Male,437
7105,Unión Juárez,10,45 to 49 years,2,Female,468
7105,Unión Juárez,11,50 to 54 years,1,Male,392
7105,Unión Juárez,11,50 to 54 years,2,Female,428
7105,Unión Juárez,12,55 to 59 years,1,Male,342
7105,Unión Juárez,12,55 to 59 years,2,Female,385
7105,Unión Juárez,13,60 to 64 years,1,Male,302
7105,Unión Juárez,13,60 to 64 years,2,Female,330
7105,Unión Juárez,14,65 or more years,1,Male,791
7105,Unión Juárez,14,65 or more years,2,Female,872
7106,Venustiano Carranza,1,0 to 4 years,1,Male,3776
7106,Venustiano Carranza,1,0 to 4 years,2,Female,3538
7106,Venustiano Carranza,2,5 to 9 years,1,Male,3640
7106,Venustiano Carranza,2,5 to 9 years,2,Female,3615
7106,Venustiano Carranza,3,10 to 14 years,1,Male,3453
7106,Venustiano Carranza,3,10 to 14 years,2,Female,3432
7106,Venustiano Carranza,4,15 to 19 years,1,Male,3274
7106,Venustiano Carranza,4,15 to 19 years,2,Female,3123
7106,Venustiano Carranza,5,20 to 24 years,1,Male,3062
7106,Venustiano Carranza,5,20 to 24 years,2,Female,2942
7106,Venustiano Carranza,6,25 to 29 years,1,Male,2929
7106,Venustiano Carranza,6,25 to 29 years,2,Female,2954
7106,Venustiano Carranza,7,30 to 34 years,1,Male,2685
7106,Venustiano Carranza,7,30 to 34 years,2,Female,2865
7106,Venustiano Carranza,8,35 to 39 years,1,Male,2365
7106,Venustiano Carranza,8,35 to 39 years,2,Female,2645
7106,Venustiano Carranza,9,40 to 44 years,1,Male,2075
7106,Venustiano Carranza,9,40 to 44 years,2,Female,2351
7106,Venustiano Carranza,10,45 to 49 years,1,Male,1875
7106,Venustiano Carranza,10,45 to 49 years,2,Female,2032
7106,Venustiano Carranza,11,50 to 54 years,1,Male,1626
7106,Venustiano Carranza,11,50 to 54 years,2,Female,1712
7106,Venustiano Carranza,12,55 to 59 years,1,Male,1413
7106,Venustiano Carranza,12,55 to 59 years,2,Female,1409
7106,Venustiano Carranza,13,60 to 64 years,1,Male,1139
7106,Venustiano Carranza,13,60 to 64 years,2,Female,1073
7106,Venustiano Carranza,14,65 or more years,1,Male,2459
7106,Venustiano Carranza,14,65 or more years,2,Female,2374
7107,Villa Corzo,1,0 to 4 years,1,Male,4162
7107,Villa Corzo,1,0 to 4 years,2,Female,4180
7107,Villa Corzo,2,5 to 9 years,1,Male,4174
7107,Villa Corzo,2,5 to 9 years,2,Female,4178
7107,Villa Corzo,3,10 to 14 years,1,Male,4255
7107,Villa Corzo,3,10 to 14 years,2,Female,4195
7107,Villa Corzo,4,15 to 19 years,1,Male,4078
7107,Villa Corzo,4,15 to 19 years,2,Female,4077
7107,Villa Corzo,5,20 to 24 years,1,Male,3597
7107,Villa Corzo,5,20 to 24 years,2,Female,3643
7107,Villa Corzo,6,25 to 29 years,1,Male,3285
7107,Villa Corzo,6,25 to 29 years,2,Female,3420
7107,Villa Corzo,7,30 to 34 years,1,Male,3017
7107,Villa Corzo,7,30 to 34 years,2,Female,3351
7107,Villa Corzo,8,35 to 39 years,1,Male,2741
7107,Villa Corzo,8,35 to 39 years,2,Female,3146
7107,Villa Corzo,9,40 to 44 years,1,Male,2490
7107,Villa Corzo,9,40 to 44 years,2,Female,2888
7107,Villa Corzo,10,45 to 49 years,1,Male,2353
7107,Villa Corzo,10,45 to 49 years,2,Female,2616
7107,Villa Corzo,11,50 to 54 years,1,Male,2128
7107,Villa Corzo,11,50 to 54 years,2,Female,2211
7107,Villa Corzo,12,55 to 59 years,1,Male,1839
7107,Villa Corzo,12,55 to 59 years,2,Female,1822
7107,Villa Corzo,13,60 to 64 years,1,Male,1499
7107,Villa Corzo,13,60 to 64 years,2,Female,1448
7107,Villa Corzo,14,65 or more years,1,Male,2995
7107,Villa Corzo,14,65 or more years,2,Female,2988
7108,Villaflores,1,0 to 4 years,1,Male,5493
7108,Villaflores,1,0 to 4 years,2,Female,5306
7108,Villaflores,2,5 to 9 years,1,Male,5399
7108,Villaflores,2,5 to 9 years,2,Female,5318
7108,Villaflores,3,10 to 14 years,1,Male,5444
7108,Villaflores,3,10 to 14 years,2,Female,5243
