Municipality ID,Municipality,Population Age Range ID,Population Age Range,Sex ID,Sex,Projected Population
1004,Cosío,10,45 to 49 years,2,Female,467
1004,Cosío,11,50 to 54 years,1,Male,365
1004,Cosío,11,50 to 54 years,2,Female,403
1004,Cosío,12,55 to 59 years,1,Male,309
1004,Cosío,12,55 to 59 years,2,Female,333
1004,Cosío,13,60 to 64 years,1,Male,264
1004,Cosío,13,60 to 64 years,2,Female,267
1004,Cosío,14,65 or more years,1,Male,620
1004,Cosío,14,65 or more years,2,Female,651
1005,Jesús María,1,0 to 4 years,1,Male,6812
1005,Jesús María,1,0 to 4 years,2,Female,6328
1005,Jesús María,2,5 to 9 years,1,Male,7013
1005,Jesús María,2,5 to 9 years,2,Female,6672
1005,Jesús María,3,10 to 14 years,1,Male,6906
1005,Jesús María,3,10 to 14 years,2,Female,6521
1005,Jesús María,4,15 to 19 years,1,Male,6520
1005,Jesús María,4,15 to 19 years,2,Female,6137
1005,Jesús María,5,20 to 24 years,1,Male,6088
1005,Jesús María,5,20 to 24 years,2,Female,5724
1005,Jesús María,6,25 to 29 years,1,Male,5877
1005,Jesús María,6,25 to 29 years,2,Female,5768
1005,Jesús María,7,30 to 34 years,1,Male,5609
1005,Jesús María,7,30 to 34 years,2,Female,5746
1005,Jesús María,8,35 to 39 years,1,Male,4982
1005,Jesús María,8,35 to 39 years,2,Female,5234
1005,Jesús María,9,40 to 44 years,1,Male,4120
1005,Jesús María,9,40 to 44 years,2,Female,4358
1005,Jesús María,10,45 to 49 years,1,Male,3356
1005,Jesús María,10,45 to 49 years,2,Female,3497
1005,Jesús María,11,50 to 54 years,1,Male,2562
1005,Jesús María,11,50 to 54 years,2,Female,2737
1005,Jesús María,12,55 to 59 years,1,Male,1999
1005,Jesús María,12,55 to 59 years,2,Female,2199
1005,Jesús María,13,60 to 64 years,1,Male,1592
1005,Jesús María,13,60 to 64 years,2,Female,1769
1005,Jesús María,14,65 or more years,1,Male,3055
1005,Jesús María,14,65 or more years,2,Female,3159
1006,Pabellón de Arteaga,1,0 to 4 years,1,Male,2367
1006,Pabellón de Arteaga,1,0 to 4 years,2,Female,2439
1006,Pabellón de Arteaga,2,5 to 9 years,1,Male,2532
1006,Pabellón de Arteaga,2,5 to 9 years,2,Female,2466
1006,Pabellón de Arteaga,3,10 to 14 years,1,Male,2551
1006,Pabellón de Arteaga,3,10 to 14 years,2,Female,2507
1006,Pabellón de Arteaga,4,15 to 19 years,1,Male,2493
1006,Pabellón de Arteaga,4,15 to 19 years,2,Female,2509
1006,Pabellón de Arteaga,5,20 to 24 years,1,Male,2391
1006,Pabellón de Arteaga,5,20 to 24 years,2,Female,2393
1006,Pabellón de Arteaga,6,25 to 29 years,1,Male,2242
1006,Pabellón de Arteaga,6,25 to 29 years,2,Female,2229
1006,Pabellón de Arteaga,7,30 to 34 years,1,Male,1912
