"imun","idmes","asegurados","casos_diarios_prom","muertos_diarios_prom","hospitalizados_diarios_prom","tasa_empleabilidad"
1010,201904,1577,0,0,0,-111
1010,201905,1888,0,0,0,311
1010,201906,2000,0,0,0,112
1010,201907,2335,0,0,0,335
1010,201908,2520,0,0,0,185
1010,201909,2459,0,0,0,-61
1010,201910,2619,0,0,0,160
1010,201911,2787,0,0,0,168
1010,201912,2684,0,0,0,-103
1010,202001,2206,0,0,0,-478
1010,202002,1568,0,0,0,-638
1010,202003,1451,0,0,0,-117
1010,202004,1302,1,0,1,-149
1010,202005,1325,3,0,1,23
1010,202006,1299,3,0,2,-26
1010,202007,1359,7,2,2,60
1010,202008,1343,4,0,3,-16
1010,202009,1452,4,2,0,109
1010,202010,1444,6,2,4,-8
1011,201901,21210,0,0,0,0
1011,201902,21420,0,0,0,210
1011,201903,21366,0,0,0,-54
1011,201904,21301,0,0,0,-65
1011,201905,21265,0,0,0,-36
1011,201906,21025,0,0,0,-240
1011,201907,21384,0,0,0,359
1011,201908,21430,0,0,0,46
1011,201909,21635,0,0,0,205
1011,201910,22174,0,0,0,539
1011,201911,22212,0,0,0,38
1011,201912,21870,0,0,0,-342
1011,202001,22573,0,0,0,703
1011,202002,22593,0,0,0,20
1011,202003,22752,0,0,0,159
1011,202004,22491,4,0,0,-261
1011,202005,22086,8,1,2,-405
1011,202006,21724,20,3,10,-362
1011,202007,21707,17,3,9,-17
1011,202008,21812,12,2,7,105
1011,202009,22105,15,1,0,293
1011,202010,22591,20,2,3,486
2001,201901,101448,0,0,0,0
2001,201902,104033,0,0,0,2585
2001,201903,106882,0,0,0,2849
2001,201904,106515,0,0,0,-367
2001,201905,104586,0,0,0,-1929
2001,201906,105278,0,0,0,692
2001,201907,103783,0,0,0,-1495
2001,201908,104693,0,0,0,910
2001,201909,110222,0,0,0,5529
2001,201910,103493,0,0,0,-6729
2001,201911,103917,0,0,0,424
2001,201912,100237,0,0,0,-3680
2001,202001,107995,0,0,0,7758
2001,202002,110496,0,0,0,2501
2001,202003,110394,4,0,2,-102
2001,202004,113633,83,10,34,3239
2001,202005,113207,253,40,94,-426
2001,202006,112531,720,58,162,-676
2001,202007,108749,930,124,233,-3782
2001,202008,108080,722,105,166,-669
2001,202009,106554,539,80,99,-1526
2001,202010,108696,560,35,97,2142
2002,201901,231687,0,0,0,0
2002,201902,235049,0,0,0,3362
2002,201903,232856,0,0,0,-2193
2002,201904,233049,0,0,0,193
2002,201905,233437,0,0,0,388
2002,201906,233866,0,0,0,429
2002,201907,232956,0,0,0,-910
2002,201908,233496,0,0,0,540
2002,201909,233198,0,0,0,-298
2002,201910,235758,0,0,0,2560
2002,201911,240648,0,0,0,4890
2002,201912,231715,0,0,0,-8933
2002,202001,235016,0,0,0,3301
2002,202002,233916,0,0,0,-1100
2002,202003,241277,65,2,30,7361
2002,202004,230339,795,89,287,-10938
2002,202005,230570,2321,422,821,231
2002,202006,229270,2751,490,853,-1300
2002,202007,231613,1958,364,507,2343
2002,202008,232940,952,183,213,1327
2002,202009,233824,892,89,160,884
2002,202010,235937,1312,112,240,2113
2003,201901,25199,0,0,0,0
2003,201902,25574,0,0,0,375
2003,201903,25539,0,0,0,-35
2003,201904,25406,0,0,0,-133
2003,201905,25395,0,0,0,-11
2003,201906,25559,0,0,0,164
2003,201907,25649,0,0,0,90
2003,201908,25637,0,0,0,-12
2003,201909,25805,0,0,0,168
2003,201910,25918,0,0,0,113
2003,201911,25987,0,0,0,69
2003,201912,25483,0,0,0,-504
2003,202001,25775,0,0,0,292
2003,202002,26061,0,0,0,286
2003,202003,25712,1,0,1,-349
2003,202004,25284,87,13,36,-428
2003,202005,24860,86,25,31,-424
2003,202006,24951,82,13,39,91
2003,202007,25240,144,21,55,289
2003,202008,25248,147,17,24,8
2003,202009,25572,143,6,11,324
2003,202010,25742,163,15,32,170
2004,201901,514089,0,0,0,0
2004,201902,517599,0,0,0,3510
2004,201903,518922,0,0,0,1323
2004,201904,518862,0,0,0,-60
2004,201905,518797,0,0,0,-65
2004,201906,522076,0,0,0,3279
2004,201907,526108,0,0,0,4032
2004,201908,526962,0,0,0,854
2004,201909,529278,0,0,0,2316
2004,201910,530700,0,0,0,1422
2004,201911,531693,0,0,0,993
2004,201912,518898,0,0,0,-12795
2004,202001,523689,0,0,0,4791
2004,202002,527529,0,0,0,3840
2004,202003,525559,107,3,42,-1970
2004,202004,512589,1130,279,750,-12970
2004,202005,512811,1083,459,749,222
2004,202006,521368,812,205,381,8557
2004,202007,529819,1253,209,471,8451
2004,202008,535194,1265,167,333,5375
2004,202009,542586,1091,163,274,7392
2004,202010,550383,955,130,312,7797
2005,201901,12713,0,0,0,0
2005,201902,13043,0,0,0,330
2005,201903,13263,0,0,0,220
2005,201904,13572,0,0,0,309
2005,201905,13416,0,0,0,-156
2005,201906,13617,0,0,0,201
2005,201907,13547,0,0,0,-70
2005,201908,13554,0,0,0,7
2005,201909,13526,0,0,0,-28
2005,201910,13789,0,0,0,263
2005,201911,13975,0,0,0,186
2005,201912,13563,0,0,0,-412
2005,202001,13844,0,0,0,281
2005,202002,13765,0,0,0,-79
2005,202003,13556,2,0,2,-209
2005,202004,13120,25,4,13,-436
2005,202005,12869,40,13,15,-251
2005,202006,13134,49,4,12,265
2005,202007,13405,78,7,18,271
2005,202008,14095,100,9,24,690
2005,202009,13999,72,8,9,-96
2005,202010,14203,62,5,14,204
3001,201901,8917,0,0,0,0
3001,201902,8706,0,0,0,-211
3001,201903,9006,0,0,0,300
3001,201904,10152,0,0,0,1146
3001,201905,10783,0,0,0,631
3001,201906,10669,0,0,0,-114
3001,201907,9306,0,0,0,-1363
3001,201908,9531,0,0,0,225
3001,201909,12024,0,0,0,2493
3001,201910,13300,0,0,0,1276
3001,201911,13141,0,0,0,-159
3001,201912,11309,0,0,0,-1832
3001,202001,9719,0,0,0,-1590
3001,202002,9314,0,0,0,-405
3001,202003,9653,0,0,0,339
3001,202004,10983,6,0,0,1330
3001,202005,11673,49,2,8,690
3001,202006,11338,103,12,19,-335
3001,202007,10951,189,15,34,-387
3001,202008,12250,139,18,30,1299
3001,202009,13476,106,4,7,1226
3001,202010,13420,187,5,9,-56
3002,201901,13283,0,0,0,0
3002,201902,13933,0,0,0,650
3002,201903,14289,0,0,0,356
3002,201904,14531,0,0,0,242
3002,201905,15046,0,0,0,515
3002,201906,14994,0,0,0,-52
3002,201907,15165,0,0,0,171
3002,201908,15242,0,0,0,77
3002,201909,15344,0,0,0,102
3002,201910,15848,0,0,0,504
3002,201911,15412,0,0,0,-436
3002,201912,14523,0,0,0,-889
3002,202001,13950,0,0,0,-573
3002,202002,14305,0,0,0,355
3002,202003,14431,0,0,0,126
3002,202004,14571,7,0,3,140
3002,202005,15256,67,3,13,685
3002,202006,15374,198,3,16,118
3002,202007,15439,277,9,27,65
3002,202008,15597,107,11,30,158
3002,202009,15997,124,10,12,400
3002,202010,15760,152,3,7,-237
3008,201901,101264,0,0,0,0
3008,201902,103554,0,0,0,2290
3008,201903,103072,0,0,0,-482
3008,201904,102910,0,0,0,-162
3008,201905,102669,0,0,0,-241
3008,201906,102237,0,0,0,-432
3008,201907,101757,0,0,0,-480
3008,201908,101690,0,0,0,-67
3008,201909,101497,0,0,0,-193
3008,201910,103635,0,0,0,2138
3008,201911,103586,0,0,0,-49
3008,201912,99232,0,0,0,-4354
3008,202001,101139,0,0,0,1907
3008,202002,102606,0,0,0,1467
3008,202003,96578,34,0,2,-6028
3008,202004,84755,172,6,23,-11823
3008,202005,80634,80,4,24,-4121
3008,202006,82204,262,15,45,1570
3008,202007,83093,938,48,197,889
3008,202008,83839,924,89,171,746
3008,202009,85404,636,34,56,1565
3008,202010,88557,791,28,54,3153
4001,201901,2917,0,0,0,0
4001,201902,2926,0,0,0,9
4001,201903,2937,0,0,0,11
4001,201904,2918,0,0,0,-19
4001,201905,2949,0,0,0,31
4001,201906,3032,0,0,0,83
4001,201907,3050,0,0,0,18
4001,201908,2977,0,0,0,-73
4001,201909,2972,0,0,0,-5
4001,201910,3047,0,0,0,75
4001,201911,3079,0,0,0,32
4001,201912,2998,0,0,0,-81
4001,202001,3092,0,0,0,94
4001,202002,3086,0,0,0,-6
4001,202003,3000,0,0,0,-86
4001,202004,2960,3,1,3,-40
4001,202005,2969,18,2,6,9
4001,202006,2906,52,10,19,-63
4001,202007,2794,105,23,41,-112
4001,202008,2792,43,10,15,-2
4001,202009,2816,11,1,1,24
4001,202010,2851,5,0,1,35
4002,201901,54472,0,0,0,0
4002,201902,54650,0,0,0,178
4002,201903,55517,0,0,0,867
4002,201904,55408,0,0,0,-109
4002,201905,54773,0,0,0,-635
4002,201906,54617,0,0,0,-156
4002,201907,54585,0,0,0,-32
4002,201908,55055,0,0,0,470
4002,201909,55491,0,0,0,436
4002,201910,56008,0,0,0,517
4002,201911,55885,0,0,0,-123
4002,201912,54598,0,0,0,-1287
4002,202001,55089,0,0,0,491
4002,202002,55582,0,0,0,493
4002,202003,55748,3,0,1,166
4002,202004,55431,27,6,14,-317
4002,202005,54875,146,5,42,-556
4002,202006,55366,813,72,245,491
4002,202007,54571,1038,176,323,-795
4002,202008,54262,359,77,118,-309
4002,202009,55376,163,21,40,1114
4002,202010,55334,169,8,28,-42
4003,201901,56775,0,0,0,0
4003,201902,58332,0,0,0,1557
4003,201903,58957,0,0,0,625
4003,201904,59770,0,0,0,813
4003,201905,60536,0,0,0,766
4003,201906,60825,0,0,0,289
4003,201907,61700,0,0,0,875
4003,201908,63583,0,0,0,1883
4003,201909,65092,0,0,0,1509
4003,201910,64539,0,0,0,-553
4003,201911,65084,0,0,0,545
4003,201912,64936,0,0,0,-148
4003,202001,63854,0,0,0,-1082
4003,202002,64739,0,0,0,885
4003,202003,63524,5,0,1,-1215
4003,202004,61717,65,12,27,-1807
4003,202005,59905,284,51,99,-1812
4003,202006,58598,604,87,155,-1307
4003,202007,56526,714,130,230,-2072
4003,202008,56558,232,52,84,32
4003,202009,55627,141,12,16,-931
4003,202010,56180,116,3,9,553
4004,201901,5978,0,0,0,0
4004,201902,6020,0,0,0,42
4004,201903,5312,0,0,0,-708
4004,201904,5393,0,0,0,81
4004,201905,5422,0,0,0,29
4004,201906,5332,0,0,0,-90
4004,201907,4883,0,0,0,-449
4004,201908,4780,0,0,0,-103
4004,201909,4875,0,0,0,95
4004,201910,4985,0,0,0,110
4004,201911,4882,0,0,0,-103
4004,201912,4926,0,0,0,44
4004,202001,5116,0,0,0,190
4004,202002,5177,0,0,0,61
4004,202003,5109,0,0,0,-68
4004,202004,5113,3,0,1,4
4004,202005,5115,25,1,8,2
4004,202006,4684,64,11,28,-431
4004,202007,4074,97,20,47,-610
4004,202008,3986,44,20,26,-88
4004,202009,4125,16,4,5,139
4004,202010,4406,13,2,3,281
4005,201901,1272,0,0,0,0
4005,201902,1301,0,0,0,29
4005,201903,1223,0,0,0,-78
4005,201904,1215,0,0,0,-8
4005,201905,1188,0,0,0,-27
4005,201906,1106,0,0,0,-82
4005,201907,1089,0,0,0,-17
4005,201908,1108,0,0,0,19
4005,201909,1118,0,0,0,10
4005,201910,1116,0,0,0,-2
4005,201911,1113,0,0,0,-3
4005,201912,1091,0,0,0,-22
4005,202001,1082,0,0,0,-9
4005,202002,1077,0,0,0,-5
4005,202003,1058,0,0,0,-19
4005,202004,1067,2,0,0,9
4005,202005,1065,18,0,8,-2
4005,202006,1065,43,5,15,0
4005,202007,924,84,11,26,-141
4005,202008,922,74,8,14,-2
4005,202009,932,24,5,6,10
4005,202010,957,2,2,1,25
4006,201901,935,0,0,0,0
4006,201902,952,0,0,0,17
4006,201903,928,0,0,0,-24
