"cve_ent","cve_mun","anio","mes","asegurados","casos_diarios","muertos_diarios","hospitalizados_diarios"
"10","021",2020,1,30,0,0,0
"10","021",2020,2,29,0,0,0
"10","021",2020,3,31,0,0,0
"10","021",2020,4,31,0,0,0
"10","021",2020,5,32,1,0,1
"10","021",2020,6,31,0,1,0
"10","021",2020,7,32,5,1,2
"10","021",2020,8,33,0,0,0
"10","021",2020,9,33,7,0,1
"10","021",2020,10,33,6,2,2
"10","022",2020,1,414,0,0,0
"10","022",2020,2,415,0,0,0
"10","022",2020,3,420,0,0,0
"10","022",2020,4,423,2,0,1
"10","022",2020,5,423,6,2,2
"10","022",2020,6,413,5,2,4
"10","022",2020,7,412,4,1,1
"10","022",2020,8,409,10,0,4
"10","022",2020,9,427,14,1,3
"10","022",2020,10,428,46,4,10
"10","024",2020,1,375,0,0,0
"10","024",2020,2,374,0,0,0
"10","024",2020,3,376,0,0,0
"10","024",2020,4,374,0,0,0
"10","024",2020,5,374,0,0,0
"10","024",2020,6,368,0,0,0
"10","024",2020,7,385,2,0,1
"10","024",2020,8,398,7,1,2
"10","024",2020,9,401,2,0,0
"10","024",2020,10,396,38,2,3
"10","026",2020,1,1993,0,0,0
"10","026",2020,2,2019,0,0,0
"10","026",2020,3,1848,0,0,0
"10","026",2020,4,1745,0,0,0
"10","026",2020,5,1779,1,0,1
"10","026",2020,6,1757,1,0,1
"10","026",2020,7,1697,1,1,1
"10","026",2020,8,1773,50,6,12
"10","026",2020,9,1762,27,2,2
"10","026",2020,10,1840,2,1,0
"10","027",2020,1,11,0,0,0
"10","027",2020,2,9,0,0,0
"10","027",2020,3,8,0,0,0
"10","027",2020,4,7,0,0,0
"10","027",2020,5,7,0,0,0
"10","027",2020,6,7,0,0,0
"10","027",2020,7,7,0,0,0
"10","027",2020,8,7,0,0,0
"10","027",2020,9,7,1,0,0
"10","027",2020,10,7,0,0,0
"10","029",2020,1,4,0,0,0
"10","029",2020,2,4,0,0,0
"10","029",2020,3,5,0,0,0
"10","029",2020,4,5,0,0,0
"10","029",2020,5,5,0,0,0
"10","029",2020,6,5,0,0,0
"10","029",2020,7,5,1,0,0
"10","029",2020,8,5,0,0,0
"10","029",2020,9,5,6,0,0
"10","029",2020,10,5,4,1,1
"1","003",2020,1,5191,0,0,0
"1","003",2020,2,5251,0,0,0
"1","003",2020,3,5106,0,0,0
"1","003",2020,4,5061,9,0,0
"1","003",2020,5,4988,2,0,0
"1","003",2020,6,4863,25,2,4
"1","003",2020,7,4910,89,1,8
"1","003",2020,8,5047,18,2,4
"1","003",2020,9,5078,41,0,4
"1","003",2020,10,5105,64,4,11
"10","030",2020,1,2,0,0,0
"10","030",2020,2,2,0,0,0
"10","030",2020,3,2,0,0,0
"10","030",2020,4,2,0,0,0
"10","030",2020,5,2,0,0,0
"10","030",2020,6,2,0,0,0
"10","030",2020,7,2,0,0,0
"10","030",2020,8,2,0,0,0
"10","030",2020,9,2,0,0,0
"10","030",2020,10,2,0,0,0
"10","031",2020,1,23,0,0,0
"10","031",2020,2,22,0,0,0
"10","031",2020,3,22,0,0,0
"10","031",2020,4,22,0,0,0
"10","031",2020,5,20,0,0,0
"10","031",2020,6,20,0,0,0
"10","031",2020,7,20,1,0,0
"10","031",2020,8,20,8,0,1
"10","031",2020,9,19,1,0,1
"10","031",2020,10,22,2,0,0
"10","032",2020,1,4701,0,0,0
"10","032",2020,2,4732,0,0,0
"10","032",2020,3,4779,0,0,0
"10","032",2020,4,4730,0,0,0
"10","032",2020,5,4747,3,1,2
"10","032",2020,6,4820,8,2,3
"10","032",2020,7,4814,25,0,6
"10","032",2020,8,4858,13,5,8
"10","032",2020,9,4868,2,2,2
